time/time_elapsed,time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/iterations,train/loss,train/entropy_loss,train/learning_rate,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/n_updates,train/approx_kl,train/clip_range
399,956,1230.05,381952,200.0,1492,2174.24853515625,-1.5900399327278136,0.0003,3665.71667175293,0.5669456720352173,-0.0053945054591167715,0.06015625,14910,0.040437803,0.3
399,955,1232.62,382208,200.0,1493,2019.9730224609375,-1.3757064998149873,0.0003,5555.61909790039,0.4040413498878479,-0.000408239068929106,0.01796875,14920,0.014000279,0.3
400,955,1232.04,382464,200.0,1494,4372.2998046875,-1.6750752747058868,0.0003,8097.363061523438,0.5099847316741943,-0.0009773841768037528,0.000390625,14930,0.0036797042,0.3
400,955,1233.84,382720,200.0,1495,490.21392822265625,-1.5549113035202027,0.0003,3942.925724029541,0.5628876686096191,-0.001342860353179276,0.0,14940,0.0043151053,0.3
400,955,1233.83,382976,200.0,1496,1143.512939453125,-1.5806600511074067,0.0003,3932.267520904541,0.5532342195510864,-0.004843116272240877,0.07421875,14950,0.026225995,0.3
400,955,1241.63,383232,200.0,1497,3229.228759765625,-1.365150910615921,0.0003,4600.160076904297,0.5019149780273438,-0.0006099847028963268,0.002734375,14960,0.0041902144,0.3
401,955,1239.6,383488,200.0,1498,3019.322998046875,-1.4008606553077698,0.0003,10568.45076904297,-0.05928075313568115,0.0001390518620610237,0.0,14970,0.0022730858,0.3
401,955,1237.44,383744,200.0,1499,8136.3037109375,-1.6614821314811707,0.0003,9996.348999023438,0.3921789526939392,-0.0024918180890381334,0.0,14980,0.0010096247,0.3
401,955,1220.09,384000,200.0,1500,3614.5869140625,-1.4725984334945679,0.0003,3654.0270623207093,0.5897209644317627,-0.0024940527975559233,0.003515625,14990,0.00700246,0.3
401,955,1219.64,384256,200.0,1501,7662.8408203125,-0.9697985082864762,0.0003,7943.201222229004,0.15190058946609497,0.003284959914162755,0.001171875,15000,0.0020653007,0.3
402,955,1224.39,384512,200.0,1502,7322.35986328125,-0.9677227884531021,0.0003,13763.85537109375,0.25241851806640625,-0.004785386216826737,0.01171875,15010,0.0056953803,0.3
402,955,1221.54,384768,200.0,1503,1195.6165771484375,-1.4965405225753785,0.0003,10496.134582519531,-0.05626964569091797,-0.002229102817364037,0.0,15020,0.00061284495,0.3
402,955,1227.51,385024,200.0,1504,102.02136993408203,-1.5636894226074218,0.0003,6585.434413909912,0.23213040828704834,-0.0011024257517419755,0.0,15030,0.0007656461,0.3
403,955,1229.15,385280,200.0,1505,7495.5380859375,-1.2802229821681976,0.0003,9866.017602539063,0.30352848768234253,-0.0004868064308539033,0.0,15040,0.00041349116,0.3
403,955,1226.26,385536,200.0,1506,1824.33056640625,-1.4082173824310302,0.0003,5917.159741210938,0.3376064896583557,-0.0009743311442434788,0.021484375,15050,0.0069956435,0.3
403,955,1223.04,385792,200.0,1507,2696.6171875,-1.607454001903534,0.0003,4301.748979187012,0.46680188179016113,-9.405449964106083e-06,0.0,15060,0.00054502627,0.3
403,955,1223.21,386048,200.0,1508,3603.085693359375,-1.694340443611145,0.0003,3725.6172576904296,0.5762333869934082,-0.002921337669249624,0.003125,15070,0.008291901,0.3
404,955,1223.16,386304,200.0,1509,7780.98876953125,-1.4872495770454406,0.0003,11535.852319335938,0.33943063020706177,-0.006350583327002823,0.034765625,15080,0.01604022,0.3
404,955,1227.53,386560,200.0,1510,2307.66796875,-1.465781807899475,0.0003,5404.5921081542965,0.47255122661590576,-0.0006970229092985392,0.0,15090,0.00047558872,0.3
404,955,1220.27,386816,200.0,1511,2021.7735595703125,-1.3682362914085389,0.0003,5133.758734130859,0.4874420166015625,-0.0026066251753945834,0.060546875,15100,0.024215307,0.3
404,955,1218.95,387072,200.0,1512,4447.630859375,-1.4094876587390899,0.0003,6405.137243652343,0.3243991732597351,-0.006974169472232461,0.0140625,15110,0.00607486,0.3
405,955,1212.87,387328,200.0,1513,6744.2900390625,-1.6506097137928009,0.0003,11453.94619140625,0.34430932998657227,-0.0026883461978286505,0.0,15120,0.003043433,0.3
405,955,1217.85,387584,200.0,1514,3657.80859375,-1.362128084897995,0.0003,7968.477282714844,0.0823323130607605,-0.005733527592383325,0.000390625,15130,0.003479703,0.3
405,955,1207.27,387840,200.0,1515,4226.70751953125,-1.5234565138816833,0.0003,7033.156022644043,0.2367556095123291,-0.003508588537806645,0.00078125,15140,0.0007959213,0.3
406,955,1208.98,388096,200.0,1516,6285.5498046875,-1.3313197910785675,0.0003,17180.132592773436,0.022041618824005127,-0.01306937737390399,0.021875,15150,0.013027962,0.3
406,955,1209.54,388352,200.0,1517,2615.763671875,-1.4897488951683044,0.0003,4282.176327514649,0.4534822702407837,-0.00413926262408495,0.000390625,15160,0.0040624533,0.3
406,955,1215.93,388608,200.0,1518,3702.7431640625,-1.4929255187511443,0.0003,4742.665383911133,0.44465744495391846,-0.0007381495786830782,0.0,15170,0.001388588,0.3
406,955,1210.48,388864,200.0,1519,3765.031494140625,-1.2980149984359741,0.0003,12887.847528076172,0.23601925373077393,-0.00012308219738770275,0.0,15180,7.1256654e-05,0.3
407,955,1211.87,389120,200.0,1520,1572.265625,-1.4436787605285644,0.0003,3948.6141319274902,0.5384916067123413,-0.0004292613361030817,0.0,15190,0.0004482735,0.3
407,955,1220.32,389376,200.0,1521,3911.815673828125,-1.62005934715271,0.0003,4125.703598022461,0.540823221206665,-0.009992039995267987,0.004296875,15200,0.0069347443,0.3
407,955,1220.3,389632,200.0,1522,1015.1670532226562,-1.3530200719833374,0.0003,3863.6306154251097,0.5689201354980469,-0.004230870911851525,0.044921875,15210,0.033833403,0.3
407,955,1219.96,389888,200.0,1523,1162.6556396484375,-1.4020791172981262,0.0003,13788.723498535157,0.21875470876693726,-0.013314179284498096,0.091796875,15220,0.023999408,0.3
408,955,1220.32,390144,200.0,1524,1576.882568359375,-1.4837577164173126,0.0003,4451.609664916992,0.4958122968673706,-0.0006918929284438491,0.0015625,15230,0.006098129,0.3
408,955,1218.92,390400,200.0,1525,3520.050537109375,-1.5403639674186707,0.0003,4837.0554870605465,0.46583497524261475,7.621685799676924e-05,0.0,15240,0.0002788615,0.3
408,955,1231.08,390656,200.0,1526,3048.547607421875,-1.1905622065067292,0.0003,4715.742819213867,0.4641457796096802,-0.00013625901192426682,0.0,15250,0.0001259949,0.3
409,955,1229.86,390912,200.0,1527,8889.78515625,-1.5513696908950805,0.0003,13665.885961914062,0.17951887845993042,-0.00027601453475654123,0.0,15260,0.0001464067,0.3
409,955,1230.96,391168,200.0,1528,3614.85791015625,-1.6011559903621673,0.0003,3717.113333129883,0.5814605951309204,-0.002776063745841384,0.001171875,15270,0.0040807943,0.3
409,955,1224.65,391424,200.0,1529,3257.53173828125,-1.6080041646957397,0.0003,3910.2482299804688,0.5459487438201904,-0.002670537366066128,0.02421875,15280,0.019645454,0.3
409,955,1225.8,391680,200.0,1530,2070.67333984375,-1.7930510818958283,0.0003,11750.219421386719,0.2873768210411072,-0.0014008382568135858,0.004296875,15290,0.002061491,0.3
410,955,1222.36,391936,200.0,1531,6998.37646484375,-1.5537879645824433,0.0003,10110.345727539063,-0.011812567710876465,0.00036701083299703894,0.0,15300,0.00025679125,0.3
410,955,1221.13,392192,200.0,1532,4906.5712890625,-1.475497442483902,0.0003,11239.946350097656,-0.2585519552230835,-0.001083999831462279,0.0,15310,0.00026742462,0.3
410,955,1216.05,392448,200.0,1533,5062.71435546875,-1.034846416115761,0.0003,10223.07374267578,-0.015873312950134277,-0.0035971050383523107,0.0,15320,0.0006702952,0.3
410,955,1213.33,392704,200.0,1534,2184.94873046875,-1.6616974532604218,0.0003,12666.64755859375,0.10635316371917725,-0.0019080688245594502,0.0,15330,0.00043911277,0.3
411,955,1214.26,392960,200.0,1535,1414.6856689453125,-1.5294231653213501,0.0003,8839.707562255859,0.06282013654708862,-0.005406562460120767,0.001171875,15340,0.003025206,0.3
411,955,1229.15,393216,200.0,1536,7475.74951171875,-1.67008016705513,0.0003,10361.109368896485,0.09074550867080688,-0.0020898397429846226,0.0,15350,0.0014244528,0.3
411,955,1232.32,393472,200.0,1537,7867.6650390625,-1.6603376269340515,0.0003,14556.453723144532,0.19362914562225342,-0.0020503694890066982,0.0,15360,0.0006557682,0.3
411,955,1242.08,393728,200.0,1538,1033.8486328125,-1.6000724196434022,0.0003,4643.921534729004,0.4063221216201782,-0.00371362054720521,0.000390625,15370,0.0015582857,0.3
412,955,1247.43,393984,200.0,1539,3381.9384765625,-1.6439915657043458,0.0003,4461.681427001953,0.5139006972312927,-0.008423598506487906,0.01640625,15380,0.011873364,0.3
412,955,1245.11,394240,200.0,1540,2632.89990234375,-1.4886482536792756,0.0003,3971.5956077575684,0.5418951511383057,-0.0063331070356071,0.123828125,15390,0.025617171,0.3
412,955,1240.51,394496,200.0,1541,10704.7060546875,-1.571310031414032,0.0003,13087.773388671874,0.28444337844848633,-0.0006526956567540765,0.0,15400,0.0025876828,0.3
413,955,1245.28,394752,200.0,1542,4316.55224609375,-1.4875390708446503,0.0003,5511.149340820312,0.35951048135757446,0.0005127930140588433,0.0,15410,0.0011108587,0.3
413,955,1237.72,395008,200.0,1543,1462.460693359375,-1.5502825021743774,0.0003,3630.8428337097166,0.5988258123397827,-0.0007262060884386301,0.0,15420,0.0020391562,0.3
413,955,1242.82,395264,200.0,1544,2657.598388671875,-1.5209798753261565,0.0003,7377.709540557861,0.5557936429977417,-0.0012054353021085263,0.0,15430,0.0013869123,0.3
413,955,1251.99,395520,200.0,1545,1799.951904296875,-1.7090960443019867,0.0003,4177.601931762695,0.5586707592010498,-0.0028020223369821908,0.005078125,15440,0.0054015247,0.3
414,955,1249.4,395776,200.0,1546,1653.0673828125,-1.5901391088962555,0.0003,4190.431666564941,0.5403417348861694,-0.004136019374709576,0.001953125,15450,0.004324792,0.3
414,955,1241.19,396032,200.0,1547,3551.7470703125,-1.340484046936035,0.0003,7619.265405273438,0.19450044631958008,0.0008601478300988674,0.0,15460,0.0021101476,0.3
414,955,1244.64,396288,200.0,1548,4203.08349609375,-1.469908607006073,0.0003,10854.71240234375,0.3421506881713867,-0.004124590673018247,0.001171875,15470,0.0038059212,0.3
414,955,1252.73,396544,200.0,1549,2543.09423828125,-1.2683745086193086,0.0003,9427.210424804687,0.08056890964508057,0.0009260578197427094,0.0,15480,0.00033264118,0.3
415,955,1252.21,396800,200.0,1550,1027.691162109375,-1.5725721061229705,0.0003,5749.872882080078,0.4201545715332031,-0.0004054965975228697,0.0,15490,5.527353e-05,0.3
415,955,1252.83,397056,200.0,1551,3952.75048828125,-1.4424509584903717,0.0003,5806.815893554687,0.35816800594329834,-2.7189782122150065e-05,0.0,15500,1.8405262e-06,0.3
415,955,1252.85,397312,200.0,1552,8055.39892578125,-1.495877879858017,0.0003,9792.467852783204,0.004673302173614502,-0.0012773850467056036,0.0,15510,0.00035348698,0.3
416,955,1250.06,397568,200.0,1553,4430.703125,-1.4841831803321839,0.0003,15815.080541992187,0.07134008407592773,-0.002745231403969228,0.0,15520,0.0009971622,0.3
416,955,1250.2,397824,200.0,1554,3644.896728515625,-1.473580425977707,0.0003,5128.708612060547,0.26460689306259155,-0.0008791504427790642,0.0,15530,0.00066784956,0.3
416,955,1250.78,398080,200.0,1555,2297.089111328125,-1.7094901561737061,0.0003,16998.252319335938,0.039402008056640625,-0.0016509188571944833,0.02265625,15540,0.011008803,0.3
416,955,1252.99,398336,200.0,1556,1137.2926025390625,-1.6409886598587036,0.0003,4130.4929473876955,0.5475425720214844,-0.000892018643207848,0.0,15550,0.0004710264,0.3
417,955,1253.43,398592,200.0,1557,1464.667724609375,-1.565936017036438,0.0003,3657.0135864257813,0.6019502878189087,-0.0030299062607809903,0.018359375,15560,0.012290141,0.3
417,955,1256.21,398848,200.0,1558,439.9828186035156,-1.5150130331516265,0.0003,3580.651513290405,0.5988833904266357,-0.0030725238379091025,0.0390625,15570,0.012261015,0.3
417,955,1253.66,399104,200.0,1559,3128.3271484375,-1.6809090852737427,0.0003,7433.181201171875,0.5494531393051147,-0.0020330457715317606,0.008984375,15580,0.008762305,0.3
417,955,1254.41,399360,200.0,1560,1027.6636962890625,-1.4729516506195068,0.0003,3610.3711174011232,0.5765205025672913,-0.0035660901106894017,0.009375,15590,0.0068908245,0.3
418,955,1268.28,399616,200.0,1561,3149.6337890625,-1.5733395040035247,0.0003,3830.0023330688477,0.5902409553527832,-0.0139930798439309,0.031640625,15600,0.019238006,0.3
418,955,1261.83,399872,200.0,1562,8121.7197265625,-1.5136570155620575,0.0003,16994.1583984375,0.08421522378921509,-0.0032489617122337224,0.009765625,15610,0.0060820095,0.3
418,955,1261.53,400128,200.0,1563,895.8433837890625,-1.2525171756744384,0.0003,2046.3954650878907,-0.2590447664260864,-0.0010251538828015328,0.0,15620,0.00034788228,0.3
419,955,1257.94,400384,200.0,1564,9886.08203125,-1.4842831373214722,0.0003,16523.552514648436,0.07652854919433594,-0.0008273320971056819,0.0,15630,0.00018446543,0.3
419,955,1257.0,400640,200.0,1565,3791.637939453125,-1.3213164985179902,0.0003,5336.802105712891,0.3889392018318176,-0.00032155474182218315,0.0,15640,0.000600955,0.3
419,955,1267.29,400896,200.0,1566,2237.0224609375,-1.3740158081054688,0.0003,5883.441107177734,0.3067755699157715,-0.000495365890674293,0.0,15650,0.000614197,0.3
420,955,1266.93,401152,200.0,1567,3850.23974609375,-1.4993837893009185,0.0003,12763.511608886718,0.26823246479034424,-0.00040369604248553516,0.0,15660,0.00010719802,0.3
420,955,1270.67,401408,200.0,1568,463.97125244140625,-1.3908246219158173,0.0003,3708.9573040008545,0.5943278074264526,-0.002099231304600835,0.029296875,15670,0.01810594,0.3
420,955,1273.81,401664,200.0,1569,4684.94580078125,-1.6234366476535798,0.0003,12623.38974609375,0.29478776454925537,-0.0014442177372984589,0.0,15680,0.0019270501,0.3
420,955,1275.19,401920,200.0,1570,1030.781982421875,-1.3585057318210603,0.0003,3635.038610076904,0.5736602544784546,-0.0010739966295659543,0.0,15690,0.0013576064,0.3
421,955,1269.35,402176,200.0,1571,3540.816650390625,-1.3188808917999268,0.0003,3586.486545753479,0.6113263368606567,-0.0017187419114634394,0.00078125,15700,0.005638073,0.3
421,955,1259.05,402432,200.0,1572,5158.75048828125,-1.683771824836731,0.0003,8333.421209716797,0.08508116006851196,-0.003228812525048852,0.003125,15710,0.0076163164,0.3
421,955,1259.47,402688,200.0,1573,2802.87109375,-1.4521889507770538,0.0003,7490.107025146484,0.5075007677078247,-0.00042425767751410606,0.0,15720,0.0010893114,0.3
421,955,1254.46,402944,200.0,1574,1717.03466796875,-1.4654697120189666,0.0003,7695.289544677735,0.20765399932861328,-0.0023034402984194458,0.0,15730,0.0010811712,0.3
422,955,1251.48,403200,200.0,1575,174.79214477539062,-1.636161482334137,0.0003,3648.0505126953126,0.628425121307373,-0.006255898857489228,0.019140625,15740,0.0090858545,0.3
422,955,1245.05,403456,200.0,1576,3498.08203125,-1.7018233358860015,0.0003,3574.1402961730955,0.6002417802810669,-0.006163277197629213,0.00859375,15750,0.013970849,0.3
422,955,1243.29,403712,200.0,1577,4970.87548828125,-1.3759732782840728,0.0003,12995.15919189453,0.22288358211517334,-0.0002396689378656447,0.0,15760,0.003629612,0.3
422,955,1243.0,403968,200.0,1578,2920.364013671875,-1.3242765307426452,0.0003,4727.7354736328125,0.46793442964553833,-0.005302797065814957,0.002734375,15770,0.0055244965,0.3
423,955,1246.65,404224,200.0,1579,2097.389892578125,-1.3333383917808532,0.0003,4733.139086914062,0.42340707778930664,-0.00028036998119205234,0.0,15780,0.0010476031,0.3
