time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,train/value_loss,train/approx_kl,train/clip_fraction,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/loss,train/explained_variance
14,35,66.13636363636364,8960,618,200.0,1193.466128540039,0.0004464672,0.0,-2.2758591055870054,0.3,-0.0008726113010197878,0.0003,2740,677.0057373046875,-0.20457828044891357
14,36,76.95652173913044,9216,616,200.0,2368.4696533203123,0.00032226718,0.0,-2.3118160009384154,0.3,-0.0012158146128058434,0.0003,2750,1208.7056884765625,0.04102081060409546
15,37,78.51063829787235,9472,615,200.0,2125.5937377929686,0.00031447783,0.0,-2.2926218152046203,0.3,-0.0021006294526159765,0.0003,2760,758.0922241210938,0.12615489959716797
15,38,80.41666666666667,9728,614,200.0,2496.4329467773437,0.00020998716,0.0,-2.287598896026611,0.3,-0.0011092918226495384,0.0003,2770,1193.313232421875,-0.013819575309753418
16,39,87.95918367346938,9984,614,200.0,1374.2939086914062,0.00022708229,0.0,-2.3030319094657896,0.3,-0.0011154620675370096,0.0003,2780,711.4523315429688,0.23483961820602417
16,40,90.58823529411765,10240,614,200.0,2229.39873046875,0.000702325,0.0,-2.3199069142341613,0.3,-0.0028574047959409655,0.0003,2790,1188.57275390625,0.23849594593048096
0,1,-380.0,256,780,200.0,2136.9592163085936,0.00052764174,0.0,-2.25591881275177,0.3,-0.0026224844390526415,0.0003,2800,1176.9134521484375,0.22362178564071655
0,2,-185.0,512,699,200.0,614.9488906860352,0.009079907,0.03046875,-1.833036434650421,0.3,-0.014035036228597165,0.0003,2810,228.8137664794922,0.04889321327209473
1,3,-236.66666666666666,768,670,200.0,647.6795181274414,0.0022747503,0.005078125,-2.1376742124557495,0.3,-0.005528908548876643,0.0003,2820,267.2010803222656,0.4547821283340454
1,4,-86.0,1024,654,200.0,1045.0506500244142,0.0106606055,0.041015625,-2.0573768258094787,0.3,-0.021859717182815076,0.0003,2830,450.1778869628906,0.3074452877044678
1,5,-50.0,1280,647,200.0,2078.768017578125,0.002268457,0.001953125,-1.9966530203819275,0.3,-0.0029906407464295624,0.0003,2840,719.936767578125,0.20793801546096802
2,6,-57.142857142857146,1536,641,200.0,1424.8964080810547,0.0043598334,0.0109375,-2.164879584312439,0.3,-0.007225164864212275,0.0003,2850,762.8670043945312,0.2967013120651245
2,7,-23.75,1792,632,200.0,1706.5138610839845,0.0103892,0.01015625,-2.0749301075935365,0.3,-0.011878967517986894,0.0003,2860,884.0322875976562,0.20466744899749756
3,8,46.0,2048,630,200.0,2506.0723205566405,0.0034698315,0.00625,-2.139425528049469,0.3,-0.004454018594697118,0.0003,2870,1186.8311767578125,0.23665672540664673
3,9,31.818181818181817,2304,629,200.0,1495.890850830078,0.005207675,0.0046875,-1.965784502029419,0.3,-0.00909811626188457,0.0003,2880,820.9618530273438,0.26497286558151245
4,10,65.83333333333333,2560,627,200.0,2316.992706298828,0.0023946154,0.0,-2.2232381105422974,0.3,-0.005740026175044477,0.0003,2890,1398.7105712890625,0.11065530776977539
4,11,78.57142857142857,2816,621,200.0,1383.3273132324218,0.002053214,0.0,-2.1764150619506837,0.3,-0.00413702498190105,0.0003,2900,656.2655639648438,0.3141680955886841
4,12,62.0,3072,618,200.0,2497.072149658203,0.002628456,0.0,-2.033819353580475,0.3,-0.004479183722287417,0.0003,2910,1337.2581787109375,0.34529709815979004
5,13,93.75,3328,614,200.0,1370.4990966796875,0.0019130316,0.000390625,-2.0777478575706483,0.3,-0.003965711657656357,0.0003,2920,744.8330078125,0.31997108459472656
5,14,95.88235294117646,3584,613,200.0,2892.132922363281,0.0027705384,0.0,-1.8869450509548187,0.3,-0.005998099409043789,0.0003,2930,1331.6947021484375,0.16735976934432983
6,15,38.94736842105263,3840,611,200.0,1364.8298461914062,0.0007767596,0.0,-1.8307539641857147,0.3,-0.0007018852746114134,0.0003,2940,556.9693603515625,0.24949616193771362
6,16,44.5,4096,607,200.0,1088.4701141357423,0.0033855257,0.0,-2.0670387983322143,0.3,-0.005196336470544338,0.0003,2950,489.16021728515625,0.3705822825431824
7,17,33.333333333333336,4352,605,200.0,1034.3229675292969,0.0044895355,0.002734375,-2.2243016958236694,0.3,-0.010911074187606572,0.0003,2960,595.3646240234375,0.028554797172546387
7,18,77.82608695652173,4608,602,200.0,3156.77978515625,0.0005438044,0.0,-2.1428974151611326,0.3,0.0006733178393915296,0.0003,2970,1480.510498046875,0.09562098979949951
8,19,98.33333333333333,4864,601,200.0,3151.5887939453123,0.002613485,0.001953125,-2.0002084970474243,0.3,-0.004060744284652173,0.0003,2980,1294.2313232421875,0.12766826152801514
8,20,92.4,5120,600,200.0,2835.688684082031,0.0021379888,0.005859375,-2.0480430126190186,0.3,-0.004348875198047608,0.0003,2990,1225.806640625,0.30002957582473755
8,21,103.07692307692308,5376,600,200.0,2224.1894714355467,0.0010626803,0.0,-2.1347296237945557,0.3,-0.001863934937864542,0.0003,3000,1232.7628173828125,0.29758578538894653
9,22,119.64285714285714,5632,600,200.0,990.2353393554688,0.003287646,0.00546875,-2.130926811695099,0.3,-0.007231702795252204,0.0003,3010,473.02899169921875,0.10218226909637451
9,23,121.03448275862068,5888,600,200.0,2665.223669433594,0.0050485833,0.010546875,-2.085540509223938,0.3,-0.0060879459604620935,0.0003,3020,1477.8125,0.3107096552848816
10,24,128.0,6144,602,200.0,1395.3443359375,0.00033699512,0.0,-2.129522240161896,0.3,-0.0007499900879338383,0.0003,3030,546.333740234375,0.33272111415863037
10,25,131.5625,6400,603,200.0,2019.9290496826172,0.0018965725,0.0,-2.183383321762085,0.3,-0.00508009425830096,0.0003,3040,1059.0528564453125,0.37176042795181274
11,26,126.36363636363636,6656,604,200.0,2069.322021484375,0.025161661,0.051171875,-2.0425781428813936,0.3,-0.018428719602525234,0.0003,3050,732.3046264648438,0.40377044677734375
11,27,141.47058823529412,6912,604,200.0,665.7427673339844,0.008376202,0.0,-2.0839328527450562,0.3,-0.007497046981006861,0.0003,3060,251.6276092529297,0.5487882494926453
11,28,154.28571428571428,7168,605,200.0,3060.3864135742188,0.010559915,0.006640625,-1.884917539358139,0.3,-0.008866122923791409,0.0003,3070,1776.03759765625,0.3178892135620117
12,29,156.21621621621622,7424,606,200.0,2178.5504455566406,0.0040250584,0.00234375,-2.051515358686447,0.3,-0.006481524056289345,0.0003,3080,1002.5179443359375,0.12831956148147583
12,30,173.42105263157896,7680,606,200.0,2324.054718017578,0.0023212722,0.0,-2.08493173122406,0.3,-0.006248166807927192,0.0003,3090,1152.22607421875,0.3082767128944397
13,31,162.82051282051282,7936,607,200.0,2731.91494140625,0.0021437875,0.0,-1.9823049485683442,0.3,-0.0073549393331632015,0.0003,3100,1130.7503662109375,0.08559525012969971
13,32,175.5,8192,607,200.0,1951.569921875,0.0018264267,0.00078125,-2.11133896112442,0.3,-0.0067937629064545035,0.0003,3110,925.987548828125,0.18844741582870483
13,33,176.66666666666666,8448,607,200.0,2871.0005737304687,0.0025791798,0.001953125,-1.9705982029438018,0.3,-0.00878803045488894,0.0003,3120,1283.3345947265625,0.35800856351852417
14,34,160.93023255813952,8704,607,200.0,1781.3740478515624,0.00834041,0.005078125,-1.9404544055461883,0.3,-0.008746671793051063,0.0003,3130,802.4401245117188,0.32225096225738525
14,35,164.3181818181818,8960,606,200.0,2057.5293884277344,0.009132972,0.008984375,-2.1385541915893556,0.3,-0.010012181708589196,0.0003,3140,788.6949462890625,-0.2372746467590332
15,36,190.0,9216,605,200.0,2414.192755126953,0.0015692885,0.0,-1.9339848756790161,0.3,-0.003181742294691503,0.0003,3150,1131.0838623046875,0.2580757141113281
15,37,199.36170212765958,9472,605,200.0,3453.7321044921873,0.0016337347,0.0,-1.8708641886711121,0.3,-0.003628757456317544,0.0003,3160,1804.114501953125,0.41924870014190674
16,38,203.125,9728,603,200.0,2369.753771972656,0.012755768,0.03203125,-1.983687400817871,0.3,-0.01628620848059654,0.0003,3170,1092.3369140625,0.3115183711051941
16,39,210.40816326530611,9984,602,200.0,3736.328015136719,0.00082809245,0.0,-1.7629964709281922,0.3,-0.0004880205960944295,0.0003,3180,1708.6275634765625,0.25653982162475586
17,40,206.66666666666666,10240,602,200.0,3214.564074707031,0.008832028,0.015234375,-1.9584577560424805,0.3,-0.009892253298312425,0.0003,3190,1552.4268798828125,0.12505275011062622
0,1,370.0,256,784,200.0,2110.9563110351564,0.0063796667,0.016796875,-1.1480481266975402,0.3,-0.0061604236252605915,0.0003,3200,1029.6092529296875,-0.01108705997467041
0,2,520.0,512,676,200.0,2720.70634765625,0.0011617283,0.0,-2.233509385585785,0.3,-0.0025372985750436784,0.0003,2810,1272.032958984375,0.1653391718864441
1,3,526.6666666666666,768,646,200.0,3515.448278808594,0.00013149087,0.0,-2.270842266082764,0.3,-0.0010281128343194723,0.0003,2820,1555.6219482421875,0.2969115376472473
1,4,378.0,1024,630,200.0,2197.7054077148437,5.532708e-05,0.0,-2.3113136768341063,0.3,-0.0005650792270898819,0.0003,2830,1078.077392578125,0.20710408687591553
2,5,416.6666666666667,1280,615,200.0,2652.548968505859,0.0005296301,0.0,-2.2877970695495606,0.3,-0.0029537943890318276,0.0003,2840,1258.0439453125,0.17293888330459595
2,6,457.14285714285717,1536,617,200.0,3484.261962890625,0.00013364968,0.0,-2.285509765148163,0.3,0.0005556285846978426,0.0003,2850,2022.8492431640625,0.12308436632156372
2,7,396.25,1792,618,200.0,1875.0674377441405,0.00066549354,0.0,-2.2764954805374145,0.3,-0.0033592268358916045,0.0003,2860,813.5531616210938,0.32775235176086426
3,8,365.0,2048,619,200.0,214.97801208496094,0.0024844364,0.0,-2.307327425479889,0.3,-0.002361075906082988,0.0003,2870,78.15094757080078,0.2792906165122986
3,9,343.6363636363636,2304,618,200.0,3346.2606811523438,0.0008896019,0.0,-2.26381710767746,0.3,-0.001339494134299457,0.0003,2880,1843.889892578125,0.12182873487472534
4,10,320.0,2560,618,200.0,3881.945690917969,0.000116933836,0.0,-2.2623637437820436,0.3,-0.0011524692468810826,0.0003,2890,1557.7474365234375,-0.03358817100524902
4,11,302.85714285714283,2816,619,200.0,489.96402130126955,0.0002607829,0.0,-2.241563880443573,0.3,-0.0016054883133620023,0.0003,2900,184.14593505859375,0.10495328903198242
4,12,326.6666666666667,3072,619,200.0,2419.571221923828,0.0003736301,0.0,-2.218886613845825,0.3,-0.001521132281050086,0.0003,2910,1363.85986328125,0.27712923288345337
5,13,300.625,3328,619,200.0,2620.4235961914064,0.0011862316,0.0,-2.225402128696442,0.3,-0.003365669120103121,0.0003,2920,1346.595947265625,0.25485777854919434
5,14,364.70588235294116,3584,617,200.0,3917.8271240234376,0.0006324854,0.0,-2.204757058620453,0.3,-0.0006063649198040366,0.0003,2930,1639.2105712890625,0.3273226022720337
6,15,391.05263157894734,3840,618,200.0,3567.9213989257814,0.00072563137,0.0,-2.1334739565849303,0.3,-0.0032070159912109377,0.0003,2940,1547.8941650390625,0.13435441255569458
6,16,393.5,4096,618,200.0,2150.6898864746095,0.0019122469,0.0,-2.141128182411194,0.3,-0.005146079702535644,0.0003,2950,886.2503662109375,0.09712696075439453
6,17,378.57142857142856,4352,622,200.0,2656.125048828125,0.002305555,0.0,-2.0823389410972597,0.3,-0.0047664316836744545,0.0003,2960,1304.2138671875,0.3517693281173706
7,18,353.4782608695652,4608,626,200.0,2171.335626220703,0.0026734816,0.0,-2.239152157306671,0.3,-0.002945465943776071,0.0003,2970,1082.993896484375,0.0672491192817688
