time/fps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,train/policy_gradient_loss,train/loss,train/approx_kl,train/n_updates,train/value_loss,train/clip_fraction,train/entropy_loss,train/clip_range,train/explained_variance
771,678.1,36,109,27904,200.0,0.0003,0.0013649027328938245,11838.0869140625,0.00028231344,1080,19420.327001953126,0.0,-2.3524606347084047,0.3,0.03689920902252197
769,676.2,36,110,28160,200.0,0.0003,-0.00033509228378534315,433.7080993652344,1.3091136e-05,1090,1125.2175674438477,0.0,-2.3559388279914857,0.3,0.112568199634552
769,666.9,36,111,28416,200.0,0.0003,-0.0040576249361038205,18.98735237121582,0.00093546626,1100,61.38502411842346,0.0,-2.3330182909965513,0.3,-0.933810830116272
769,666.6,37,112,28672,200.0,0.0003,-0.0011444468051195144,33.36995315551758,0.0006305638,1110,454.90944213867186,0.0,-2.3338513731956483,0.3,-15.13239860534668
768,697.2,37,113,28928,200.0,0.0003,-0.00015908889472484588,2211.037109375,1.8591527e-05,1120,10908.783996582031,0.0,-2.3234477043151855,0.3,0.03071427345275879
769,688.6,37,114,29184,200.0,0.0003,-0.0010472674388438464,657.8579711914062,0.00026859064,1130,1370.6487213134765,0.0,-2.325860047340393,0.3,0.39553630352020264
769,703.6,38,115,29440,200.0,0.0003,-0.000935193756595254,2981.17236328125,0.0001518866,1140,10538.537182617187,0.0,-2.3278966903686524,0.3,-0.051523685455322266
769,698.9,38,116,29696,200.0,0.0003,-0.0006975092459470033,205.19378662109375,0.00010785507,1150,8070.978088378906,0.0,-2.3307938098907472,0.3,0.03994089365005493
769,721.4,38,117,29952,200.0,0.0003,-0.0010898286011070013,1230.700439453125,0.0001763124,1160,10307.65340576172,0.0,-2.3333740711212156,0.3,0.09322559833526611
768,738.4,39,118,30208,200.0,0.0003,-0.002981991885462776,1592.9093017578125,0.0006147914,1170,11404.08896484375,0.0,-2.345628833770752,0.3,0.014724254608154297
769,751.8,39,119,30464,200.0,0.0003,-0.0016316055553033948,4091.030517578125,0.00022439379,1180,11073.6345703125,0.0,-2.3461145401000976,0.3,0.08106756210327148
769,759.1,39,120,30720,200.0,0.0003,-0.0012545156758278608,16091.6923828125,0.00027980143,1190,20171.307189941406,0.0,-2.3440262198448183,0.3,0.05936777591705322
770,775.5,40,121,30976,200.0,0.0003,-0.0017962542595341801,10453.5029296875,0.00023546536,1200,11741.804638671874,0.0,-2.3361011028289793,0.3,0.0699731707572937
769,790.3,40,122,31232,200.0,0.0003,-0.002138472814112902,6965.82568359375,0.00041980646,1210,12558.853393554688,0.0,-2.331776261329651,0.3,0.09513676166534424
769,790.5,40,123,31488,200.0,0.0003,-0.0023601090768352153,4927.16845703125,0.00039025745,1220,11120.062048339843,0.0,-2.341546595096588,0.3,0.05310314893722534
769,790.4,41,124,31744,200.0,0.0003,-0.004091277671977878,15.22980785369873,0.0024205463,1230,41.789383506774904,0.0,-2.329830229282379,0.3,-5.360973358154297
769,806.1,41,125,32000,200.0,0.0003,0.00018128601368516684,2701.045654296875,0.0014047571,1240,9812.953454589844,0.0,-2.2890639543533324,0.3,0.07516294717788696
769,797.1,41,126,32256,200.0,0.0003,4.689968191087246e-05,3775.119384765625,4.986557e-05,1250,7782.764323425293,0.0,-2.2898797392845154,0.3,0.03533589839935303
770,808.4,42,127,32512,200.0,0.0003,-0.0024703918839804827,3223.8671875,0.0004939579,1260,16871.78581542969,0.0,-2.2936137437820436,0.3,0.0808495283126831
769,815.4,42,128,32768,200.0,0.0003,-0.0004883345682173967,3364.7109375,0.00027349172,1270,12008.630993652343,0.0,-2.3030142545700074,0.3,-0.02147972583770752
769,838.1,42,129,33024,200.0,0.0003,-0.003782450035214424,2063.497314453125,0.0020039924,1280,8898.140185546876,0.0,-2.3005202770233155,0.3,0.022403717041015625
769,853.0,43,130,33280,200.0,0.0003,-0.003839181619696319,2547.53466796875,0.001554698,1290,18314.372790527344,0.0,-2.2673954129219056,0.3,0.07994937896728516
769,846.2,43,131,33536,200.0,0.0003,-0.0030921302735805512,6687.701171875,0.0013296576,1300,7280.597009277344,0.0,-2.2586283564567564,0.3,0.10536646842956543
769,854.0,43,132,33792,200.0,0.0003,-0.0013476176653057336,4179.60546875,0.00046573486,1310,8316.153338623048,0.0,-2.2507448196411133,0.3,0.08236521482467651
769,827.3,44,133,34048,200.0,0.0003,-0.0009417631896212697,24.79022979736328,0.00060874526,1320,83.81619625091552,0.0,-2.2551629662513735,0.3,-1.3295352458953857
768,820.6,44,134,34304,200.0,0.0003,-0.004738267324864864,95.7467269897461,0.004209291,1330,251.9434387207031,0.0,-2.206580698490143,0.3,0.33692467212677
768,835.6,44,135,34560,200.0,0.0003,-0.003645976632833481,3280.13671875,0.0031255009,1340,10357.671740722657,0.0,-2.1480107426643373,0.3,0.09529691934585571
766,877.4,45,136,34816,200.0,0.0003,-0.000592608016449958,2837.331298828125,9.9757686e-05,1350,10883.776721191407,0.0,-2.1334412574768065,0.3,0.12611627578735352
766,868.0,45,137,35072,200.0,0.0003,-0.0017666257452219724,6694.5791015625,0.000627971,1360,11260.010009765625,0.0,-2.1170242071151733,0.3,0.10703891515731812
765,864.8,46,138,35328,200.0,0.0003,-0.0004125570645555854,4448.720703125,0.0001585139,1370,8765.946130371094,0.0,-2.090385687351227,0.3,0.06920284032821655
764,862.1,46,139,35584,200.0,0.0003,-0.0033759612357243895,385.1625671386719,0.001123355,1380,468.7045364379883,0.0,-2.093535006046295,0.3,0.4070158004760742
764,884.4,46,140,35840,200.0,0.0003,-0.00032444087555631994,8342.0283203125,0.00046005077,1390,10192.887512207031,0.0,-2.0764159560203552,0.3,0.12107646465301514
763,890.6,47,141,36096,200.0,0.0003,-0.0005847916239872575,7059.65234375,0.000161984,1400,15479.508618164062,0.0,-2.079490566253662,0.3,0.09243923425674438
763,881.3,47,142,36352,200.0,0.0003,-0.007854581286665052,11.218189239501953,0.012589082,1410,35.118556880950926,0.0,-2.0596001029014586,0.3,-1.9064810276031494
762,889.6,48,143,36608,200.0,0.0003,0.0011088596889749168,2138.48486328125,0.010581633,1420,8153.923852539063,0.0,-1.9753260374069215,0.3,0.11343711614608765
761,900.1,48,144,36864,200.0,0.0003,-0.0015899029211141169,5918.494140625,0.0021932106,1430,6064.64356842041,0.0,-1.9209204494953156,0.3,0.09193271398544312
760,902.9,48,145,37120,200.0,0.0003,-0.006763752596452832,4410.10205078125,0.005778432,1440,11888.460412597657,0.0,-1.975095009803772,0.3,0.052876830101013184
760,912.6,49,146,37376,200.0,0.0003,-0.0027092633419670163,2328.629638671875,0.0032450473,1450,9898.7689453125,0.0,-2.067833137512207,0.3,0.11829376220703125
760,931.4,49,147,37632,200.0,0.0003,-0.002187462360598147,813.1377563476562,0.0018274151,1460,8359.147485351563,0.0,-2.110415530204773,0.3,0.12686240673065186
759,929.0,49,148,37888,200.0,0.0003,-0.002723215240985155,113.52156829833984,0.0028965187,1470,241.08411407470703,0.0,-2.1234832644462585,0.3,0.37980329990386963
759,936.6,50,149,38144,200.0,0.0003,-0.001333449361845851,6480.82373046875,0.00466296,1480,8766.011437988282,0.0,-2.1623362421989443,0.3,0.14368188381195068
759,929.7,50,150,38400,200.0,0.0003,-0.0017492884770035743,4194.2373046875,0.001469401,1490,9222.481274414062,0.0,-2.175855243206024,0.3,0.08729511499404907
759,934.6,50,151,38656,200.0,0.0003,-0.0008631212171167135,5177.33642578125,0.0005754973,1500,10541.410424804688,0.0,-2.146228075027466,0.3,0.05911523103713989
758,937.5,51,152,38912,200.0,0.0003,-0.000983997667208314,5656.62353515625,7.542665e-05,1510,15923.64951171875,0.0,-2.134447395801544,0.3,0.05442667007446289
758,944.6,51,153,39168,200.0,0.0003,-0.0012746806489303709,8137.8408203125,0.00043913536,1520,8665.204345703125,0.0,-2.1342060446739195,0.3,0.14271390438079834
758,978.9,51,154,39424,200.0,0.0003,-0.001783817890100181,2669.585205078125,0.0007693907,1530,12253.236645507812,0.0,-2.1408701181411742,0.3,0.09115380048751831
758,984.6,52,155,39680,200.0,0.0003,-0.0010053816949948668,4381.376953125,0.0007659551,1540,8311.898974609376,0.0,-2.1527093768119814,0.3,0.13839751482009888
758,977.3,52,156,39936,200.0,0.0003,-0.001997123146429658,3828.1171875,0.00093528884,1550,18081.34768066406,0.0,-2.160619056224823,0.3,0.021939218044281006
757,984.6,53,157,40192,200.0,0.0003,-0.004516540607437491,530.9912109375,0.0063087204,1560,8803.76748046875,0.0,-2.1515581130981447,0.3,0.029866456985473633
755,978.0,53,158,40448,200.0,0.0003,0.0008004499133676291,272.4324951171875,0.0026585464,1570,737.2568313598633,0.0,-2.084090507030487,0.3,-27.962045669555664
