time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/clip_range,train/explained_variance,train/learning_rate,train/approx_kl,train/n_updates,train/entropy_loss,train/loss
38,-1002.5,1106,200.0,8,9728,-0.005400305823422968,2697.0645751953125,0.0,0.3,-2.0384788513183594e-05,0.0003,0.002537532,370,-1.9922700643539428,1322.06591796875
39,-999.1836734693877,1107,200.0,9,9984,-0.014262845739722252,1738.6207946777345,0.0,0.3,-8.106231689453125e-06,0.0003,0.014708102,380,-1.9393495202064515,762.6552734375
40,-985.0980392156863,1107,200.0,9,10240,0.0011208144249394536,1844.4580444335938,0.0,0.3,-1.4424324035644531e-05,0.0003,0.001805335,390,-1.8771790564060211,931.0506591796875
1,-1480.0,1464,200.0,0,256,-0.003605323052033782,1691.18134765625,0.001953125,0.3,-1.1920928955078125e-07,0.0003,0.002997211,400,-1.9067236840724946,796.7467041015625
2,-1315.0,1276,200.0,0,512,-0.002904064557515085,5181.144091796875,0.0,0.3,0.0003947019577026367,0.0003,0.00032219617,10,-2.564836096763611,2644.755859375
3,-1250.0,1220,200.0,0,768,-0.0029497991781681776,4776.392626953125,0.0,0.3,0.00914764404296875,0.0003,0.00019269553,20,-2.564578878879547,2362.82666015625
4,-1176.0,1189,200.0,0,1024,-0.0030025509651750324,2864.92373046875,0.0,0.3,0.0018295645713806152,0.0003,0.00027812785,30,-2.5640703201293946,1429.3543701171875
5,-1165.0,1177,200.0,1,1280,-0.003256194619461894,3828.1362426757814,0.0,0.3,0.002507150173187256,0.0003,0.00032961834,40,-2.5633397102355957,1857.501953125
6,-1127.142857142857,1166,200.0,1,1536,-0.004045785823836923,3436.3743530273437,0.0,0.3,-0.00013685226440429688,0.0003,0.0005018574,50,-2.562246358394623,1677.6265869140625
7,-1131.25,1160,200.0,1,1792,-0.002877850690856576,2935.033544921875,0.0,0.3,-0.00020229816436767578,0.0003,0.00041730376,60,-2.560076427459717,1409.11376953125
8,-1169.0,1152,200.0,1,2048,-0.0027991998940706253,4402.832592773438,0.0,0.3,-0.00017142295837402344,0.0003,0.0002884816,70,-2.5588554739952087,2029.0062255859375
9,-1168.1818181818182,1148,200.0,2,2304,-0.0032157277688384055,3864.987829589844,0.0,0.3,3.886222839355469e-05,0.0003,0.00037046522,80,-2.555906867980957,1940.3831787109375
