time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/entropy_loss,train/clip_range,train/clip_fraction,train/n_updates,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/loss,train/approx_kl
713728,200.0,745,956,1230.48,2788,0.401719868183136,-1.693440330028534,0.3,0.0,27870,7667.714797973633,0.0003,-0.00046758978860452773,2083.41650390625,9.270338e-05
713984,200.0,746,956,1241.46,2789,0.7655742168426514,-1.6179721474647522,0.3,0.0,27880,2467.385546875,0.0003,-0.0010163250262849033,694.3839721679688,0.00077305036
714240,200.0,746,956,1239.11,2790,-0.1283808946609497,-1.5228220224380493,0.3,0.0,27890,17393.235791015624,0.0003,-0.0014414145378395915,10176.5478515625,0.0007157221
714496,200.0,746,956,1236.28,2791,0.21980011463165283,-1.2999719262123108,0.3,0.0,27900,16773.462744140626,0.0003,-0.000255061371717602,5120.56005859375,0.000106737716
714752,200.0,747,956,1227.98,2792,0.49055206775665283,-1.5686423361301423,0.3,0.0,27910,4799.0890625,0.0003,-0.00010513387387618422,2429.681884765625,3.955327e-06
715008,200.0,747,956,1221.48,2793,0.7760082483291626,-1.6376003444194793,0.3,0.00078125,27920,2423.721611022949,0.0003,-0.005089743097778409,1612.3411865234375,0.0067241406
715264,200.0,747,956,1221.46,2794,0.46067917346954346,-1.4156504809856414,0.3,0.0,27930,11274.774621582032,0.0003,0.0015148013830184937,5251.91552734375,0.0015197976
715520,200.0,747,956,1222.75,2795,0.5137220621109009,-1.3130775213241577,0.3,0.0,27940,5906.728356933594,0.0003,-0.0005507517198566347,4160.10107421875,0.0003871529
715776,200.0,748,956,1227.01,2796,0.7274253368377686,-1.5106138348579408,0.3,0.0,27950,2713.7689422607423,0.0003,-0.0017664410173892976,1537.3687744140625,0.0018401972
716032,200.0,748,956,1239.22,2797,0.7893900871276855,-1.4590209186077119,0.3,0.013671875,27960,2583.8674228668215,0.0003,-0.0025989292422309517,804.1483154296875,0.012150859
716288,200.0,748,956,1253.74,2798,0.2226218581199646,-1.4754340052604675,0.3,0.0015625,27970,22674.094775390626,0.0003,0.0015657928539440035,9961.044921875,0.0028458005
716544,200.0,748,956,1247.2,2799,0.709297776222229,-1.5186331152915955,0.3,0.0,27980,3190.697784423828,0.0003,-0.001535818655975163,1395.187255859375,0.00093776453
716800,200.0,749,956,1254.84,2800,0.4467938542366028,-1.4522948086261749,0.3,0.0,27990,7291.748425292969,0.0003,-0.0007229570532217622,6428.91015625,0.0007559231
717056,200.0,749,956,1247.18,2801,0.2515660524368286,-1.2203965365886689,0.3,0.0,28000,9532.832250976562,0.0003,-0.0001612426101928577,3503.983642578125,6.371341e-05
717312,200.0,749,956,1243.54,2802,0.7178361415863037,-1.3001478731632232,0.3,0.0,28010,6340.885754394531,0.0003,-0.0003717451123520732,2654.745849609375,0.00032805745
717568,200.0,749,956,1246.68,2803,0.6093763113021851,-1.328186583518982,0.3,0.0078125,28020,4223.163250732422,0.0003,-0.002235698117874563,1920.89599609375,0.005883511
717824,200.0,750,956,1230.81,2804,-2.152919054031372,-1.292712527513504,0.3,0.0,28030,2553.9546325683596,0.0003,-0.00022679268149659038,264.48797607421875,0.00052731694
718080,200.0,750,956,1231.06,2805,0.05446171760559082,-1.573856669664383,0.3,0.0,28040,20270.181494140626,0.0003,-0.0005393432220444083,4584.17431640625,0.0003334172
718336,200.0,750,956,1236.63,2806,0.4738771319389343,-1.4390207350254058,0.3,0.0,28050,4577.11499633789,0.0003,-0.0015111193468328565,2746.880615234375,0.00078262924
718592,200.0,750,956,1230.75,2807,0.4816352128982544,-1.3780125856399537,0.3,0.0046875,28060,5562.459951782226,0.0003,-0.003994946379680187,3945.128662109375,0.0060750376
718848,200.0,751,956,1245.32,2808,0.7928379774093628,-1.5568458497524262,0.3,0.005078125,28070,2462.0186767578125,0.0003,-0.001956231286749244,1084.5146484375,0.006911964
719104,200.0,751,956,1247.61,2809,0.2585989236831665,-1.2299874007701874,0.3,0.0,28080,14352.637451171875,0.0003,-0.0002957063727080822,5630.5869140625,0.0015220162
719360,200.0,751,956,1247.0,2810,0.5780942440032959,-1.3607722222805023,0.3,0.0,28090,4976.483798217773,0.0003,-0.0002548030111938715,1299.5306396484375,0.00013320008
719616,200.0,752,956,1251.6,2811,0.6238099336624146,-1.5742473959922791,0.3,0.00234375,28100,3224.641902923584,0.0003,-0.0031519454903900625,2446.768310546875,0.004883183
719872,200.0,752,956,1244.73,2812,0.4173131585121155,-1.6005224108695983,0.3,0.006640625,28110,14414.0748046875,0.0003,0.005796343926340342,5392.80419921875,0.00933433
720128,200.0,752,956,1243.97,2813,0.11578088998794556,-1.3658293187618256,0.3,0.0,28120,12450.93221435547,0.0003,-0.0006230954313650727,6251.13232421875,0.00014739973
720384,200.0,752,956,1245.76,2814,0.7597458362579346,-1.305047434568405,0.3,0.0,28130,2466.418440246582,0.0003,-0.002297796285711229,1819.24755859375,0.0054764478
720640,200.0,753,956,1258.0,2815,0.7746657133102417,-1.3175172328948974,0.3,0.0,28140,2472.6873291015627,0.0003,-0.0014556669746525585,782.7166748046875,0.0037233806
720896,200.0,753,956,1264.36,2816,0.7864328622817993,-1.4872760057449341,0.3,0.0,28150,4405.065319824219,0.0003,-0.0018295683432370425,3427.789306640625,0.0018219773
721152,200.0,753,956,1249.58,2817,0.8134683966636658,-1.3023486137390137,0.3,0.026953125,28160,2168.021959877014,0.0003,-0.0021630524890497325,1013.3202514648438,0.012125706
