time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/loss,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/value_loss,train/entropy_loss,train/clip_fraction,train/n_updates,train/clip_range,train/approx_kl
9,9984,39,200.0,-226.3265306122449,1094,550.26806640625,-0.012557774526067078,-0.04203510284423828,0.0003,894.9243728637696,-2.179196035861969,0.010546875,380,0.3,0.012055554
9,10240,40,200.0,-225.2941176470588,1094,213.18675231933594,-0.0043083472643047575,0.022967755794525146,0.0003,765.6683822631836,-2.0951399564743043,0.0,390,0.3,0.0014259135
0,256,1,200.0,-220.0,1420,93.64171600341797,-0.007244017231278122,0.1278126835823059,0.0003,192.07923889160156,-1.9830289959907532,0.004296875,400,0.3,0.0038393128
0,512,2,200.0,-250.0,1216,158.56324768066406,-6.880233995616436e-05,-0.8123434782028198,0.0003,312.2600776672363,-2.2324340462684633,0.0,410,0.3,0.00020008371
0,768,3,200.0,-176.66666666666666,1155,30.566434860229492,-0.0027367763337679206,0.11962878704071045,0.0003,123.02197895050048,-2.2637826800346375,0.0,420,0.3,0.0037614205
0,1024,4,200.0,-230.0,1110,56.49753952026367,0.00022143346723169088,0.05020231008529663,0.0003,414.220393371582,-2.303711450099945,0.0,430,0.3,0.0010260064
1,1280,5,200.0,-186.66666666666666,1092,98.81110382080078,-0.01011902242898941,-0.052936553955078125,0.0003,219.34339981079103,-2.3067883372306826,0.0,440,0.3,0.003788932
1,1536,6,200.0,-207.14285714285714,1082,274.3409729003906,-0.0010914343176409603,-0.01767098903656006,0.0003,511.35914916992186,-2.3145748496055605,0.0,450,0.3,0.0013386398
1,1792,7,200.0,-241.25,1072,50.14352798461914,-0.0025681073777377604,-0.4294987916946411,0.0003,145.49384441375733,-2.2912459492683412,0.0,460,0.3,0.0007712592
1,2048,8,200.0,-249.0,1069,64.80689239501953,-0.0026921733049675824,-0.017709851264953613,0.0003,157.1084690093994,-2.2730080485343933,0.0,470,0.3,0.0014074822
2,2304,9,200.0,-256.3636363636364,1072,55.299232482910156,-0.01714718583971262,0.04777020215988159,0.0003,188.93071060180665,-2.2072021484375,0.037109375,480,0.3,0.022825737
2,2560,10,200.0,-263.3333333333333,1080,8.399579048156738,-0.0143520412966609,-0.0609356164932251,0.0003,96.43785657882691,-2.0285297453403475,0.01640625,490,0.3,0.026326306
2,2816,11,200.0,-252.85714285714286,1075,44.98535919189453,-0.00614347904920578,0.10570043325424194,0.0003,104.31075172424316,-1.8800217449665069,0.0,500,0.3,0.0040562544
2,3072,12,200.0,-238.66666666666666,1069,326.04888916015625,-0.002901175944134593,-0.003614068031311035,0.0003,528.7965950012207,-1.9157617449760438,0.000390625,510,0.3,0.0057638115
3,3328,13,200.0,-239.375,1070,424.6578674316406,-0.0034307406516745687,0.027844250202178955,0.0003,532.6006477355957,-1.9946288347244263,0.0,520,0.3,0.0033582111
3,3584,14,200.0,-248.23529411764707,1072,109.8792953491211,-0.006249320856295526,0.07355940341949463,0.0003,151.76998481750488,-2.0793375849723814,0.00234375,530,0.3,0.009740551
3,3840,15,200.0,-225.78947368421052,1072,149.41033935546875,-0.005417331191711128,0.048365890979766846,0.0003,428.6173282623291,-2.265078234672546,0.000390625,540,0.3,0.008957295
3,4096,16,200.0,-230.0,1073,174.2656707763672,-0.008925795531831681,-0.006990909576416016,0.0003,519.7406158447266,-2.3095023155212404,0.00078125,550,0.3,0.0059082247
4,4352,17,200.0,-230.0,1071,63.64466094970703,-0.017924673575907945,-0.06690013408660889,0.0003,213.02104606628419,-2.4327480673789976,0.02109375,560,0.3,0.018790446
4,4608,18,200.0,-219.56521739130434,1072,30.597524642944336,-0.004024646966718138,0.05546849966049194,0.0003,112.9883165359497,-2.4845258593559265,0.000390625,570,0.3,0.0061002034
4,4864,19,200.0,-228.33333333333334,1073,315.8177795410156,0.0004105256637558341,-0.032614946365356445,0.0003,738.0212356567383,-2.412601900100708,0.0,580,0.3,0.0017396882
4,5120,20,200.0,-234.8,1073,79.5843734741211,-0.0048060121713206175,0.15237557888031006,0.0003,133.69758949279785,-2.4012040495872498,0.00078125,590,0.3,0.003570676
4,5376,21,200.0,-233.84615384615384,1076,50.69462966918945,-0.001261261443141848,0.13379520177841187,0.0003,125.78572807312011,-2.4079488635063173,0.0,600,0.3,0.00091716833
5,5632,22,200.0,-237.14285714285714,1078,58.67512130737305,-0.01538196501787752,0.14465105533599854,0.0003,103.47630882263184,-2.3654717206954956,0.00859375,610,0.3,0.012675893
5,5888,23,200.0,-230.68965517241378,1079,61.837852478027344,-0.000813671899959445,0.09070390462875366,0.0003,162.73644332885743,-2.321834409236908,0.0,620,0.3,0.0033043514
5,6144,24,200.0,-225.33333333333334,1082,348.2371826171875,-0.005338151496835053,-0.05031740665435791,0.0003,462.38000259399416,-2.335541248321533,0.0,630,0.3,0.0023303863
