rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/clip_fraction,train/explained_variance,train/clip_range,train/loss,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/value_loss,train/learning_rate,train/entropy_loss
-496.969696969697,1037,26,6,6656,200.0,0.07890625,-5.507469177246094e-05,0.3,94.24679565429688,-0.0019926654873415827,250,0.030088779,154.94146728515625,0.0003,-2.137854444980621
-505.5882352941176,1039,27,6,6912,200.0,0.0,0.03233712911605835,0.3,447.6296081542969,-0.00565072923200205,260,0.0026786963,944.43583984375,0.0003,-2.2524696826934814
-499.42857142857144,1038,28,6,7168,200.0,0.0,0.0008739233016967773,0.3,109.76842498779297,-0.006785397231578827,270,0.0027041752,303.79658966064454,0.0003,-2.3007201552391052
-504.86486486486484,1038,29,7,7424,200.0,0.0,0.07179480791091919,0.3,174.2786865234375,-0.002150168502703309,280,0.00065458217,598.5212310791015,0.0003,-2.3280909657478333
-500.0,1039,30,7,7680,200.0,0.0,0.03368353843688965,0.3,112.33960723876953,-0.002697263937443495,290,0.0008501187,231.46672515869142,0.0003,-2.3072700262069703
-501.02564102564105,1040,31,7,7936,200.0,0.0,0.20683538913726807,0.3,433.4252624511719,-0.000823501858394593,300,0.0003935101,620.0287094116211,0.0003,-2.2868583679199217
-492.5,1041,32,7,8192,200.0,0.002734375,0.07307982444763184,0.3,89.08221435546875,-0.011095672496594489,310,0.00748112,188.107022857666,0.0003,-2.2702885985374452
-496.6666666666667,1041,33,8,8448,200.0,0.00078125,0.25706392526626587,0.3,430.3817443847656,-0.0017028899805154652,320,0.0026365079,612.9346496582032,0.0003,-2.2704110503196717
-487.2093023255814,1040,34,8,8704,200.0,0.007421875,0.06259512901306152,0.3,124.25778198242188,-0.0091884711291641,330,0.004227432,281.3278518676758,0.0003,-2.298449695110321
-489.54545454545456,1039,35,8,8960,200.0,0.0,0.2682027816772461,0.3,393.7644958496094,-0.005356326512992382,340,0.001764494,956.4365081787109,0.0003,-2.3170668959617613
-479.5652173913044,1039,36,8,9216,200.0,0.0,-0.07604074478149414,0.3,468.26263427734375,-0.0038316022604703904,350,0.002143472,858.7023376464844,0.0003,-2.3189215779304506
-483.40425531914894,1040,37,9,9472,200.0,0.0,0.18469393253326416,0.3,253.8325653076172,-0.0012072425743099302,360,0.00053850026,553.6344299316406,0.0003,-2.3902693033218383
-477.2916666666667,1040,38,9,9728,200.0,0.0,0.002578437328338623,0.3,157.28640747070312,-0.003528090286999941,370,0.0015315616,311.90424728393555,0.0003,-2.402738165855408
-470.40816326530614,1040,39,9,9984,200.0,0.0,0.0025978684425354004,0.3,697.78515625,-0.007729367329739034,380,0.003048072,1070.440737915039,0.0003,-2.40064013004303
-469.80392156862746,1040,40,9,10240,200.0,0.0,0.09044903516769409,0.3,876.5726928710938,-0.0017399975564330815,390,0.0007359106,1258.251235961914,0.0003,-2.4057603597640993
-1950.0,1342,1,0,256,200.0,0.0,0.04886651039123535,0.3,384.6705017089844,-0.002320746867917478,400,0.00059621735,614.0636627197266,0.0003,-2.4181699752807617
-2070.0,1166,2,0,512,200.0,0.0,-0.00011289119720458984,0.3,2573.28662109375,-0.005075173382647335,10,0.00039496878,5466.3905029296875,0.0003,-2.564795529842377
-1896.6666666666667,1132,3,0,768,200.0,0.0,0.0014402270317077637,0.3,1971.5372314453125,-0.003591070743277669,20,0.00043253065,4380.418640136719,0.0003,-2.563911533355713
-1864.0,1108,4,0,1024,200.0,0.0,-0.0012099742889404297,0.3,2072.013671875,-0.0029192228568717836,30,0.0002874895,3825.0096923828123,0.0003,-2.562743139266968
