time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/n_updates,train/clip_fraction,train/clip_range,train/value_loss,train/explained_variance,train/learning_rate,train/approx_kl,train/loss,train/policy_gradient_loss
9,7424,200.0,29,796,481.35135135135135,-2.1664793491363525,280,0.0,0.3,9203.592712402344,0.030843615531921387,0.0003,0.00490315,2498.4853515625,-0.005363762192428112
9,7680,200.0,30,796,483.42105263157896,-2.322854292392731,290,0.0,0.3,9337.030969238282,0.04219222068786621,0.0003,0.0026572666,6526.86669921875,-0.002791568823158741
9,7936,200.0,31,795,482.56410256410254,-2.2652140617370606,300,0.0,0.3,16408.961865234374,0.0031832456588745117,0.0003,0.0011228526,11430.5810546875,-0.0019510207464918494
10,8192,200.0,32,796,482.75,-2.2764574766159056,310,0.0,0.3,8823.711444091798,0.03910344839096069,0.0003,0.0007023029,4952.44384765625,-0.00239038597792387
10,8448,200.0,33,797,492.85714285714283,-2.3400574684143067,320,0.003515625,0.3,9075.463275146485,0.05340844392776489,0.0003,0.0066114226,4871.29248046875,-0.007569617312401533
10,8704,200.0,34,798,492.09302325581393,-2.3056999325752257,330,0.0,0.3,16909.81593017578,0.05168890953063965,0.0003,0.001174923,4819.48583984375,-0.0023455167654901745
11,8960,200.0,35,796,499.09090909090907,-2.3538727164268494,340,0.0,0.3,8712.1396484375,0.04510378837585449,0.0003,0.0015262011,4208.0830078125,-0.003787449630908668
11,9216,200.0,36,795,504.3478260869565,-2.3461653113365175,350,0.0,0.3,9039.56153564453,0.055137038230895996,0.0003,0.0024712645,5822.55078125,-0.0053253583144396545
11,9472,200.0,37,794,508.29787234042556,-2.375354301929474,360,0.0,0.3,8874.97572631836,0.03325098752975464,0.0003,0.005323631,4728.4892578125,-0.008061013044789433
12,9728,200.0,38,793,508.3333333333333,-2.4561830163002014,370,0.0,0.3,17845.789599609376,0.048480212688446045,0.0003,0.0003817312,6992.6982421875,0.0015849351650103927
12,9984,200.0,39,792,513.0612244897959,-2.464252293109894,380,0.0,0.3,8642.17216796875,0.04222828149795532,0.0003,0.00032069627,6335.8955078125,-0.0018239048309624194
12,10240,200.0,40,792,511.37254901960785,-2.406811535358429,390,0.003125,0.3,8949.998626708984,0.054814815521240234,0.0003,0.010443199,7245.37890625,-0.0075503380387090145
