time/fps,rollout/ep_rew_mean,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,train/loss,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/n_updates,train/clip_range,train/approx_kl
687,-58.0,4096,2,200.0,5,0.0003,689.6687622070312,0.19263023138046265,-2.2890134751796722,-0.007712085270031821,2125.812506866455,0.0345703125,210,0.2,0.008851211
639,-53.333333333333336,6144,3,200.0,9,0.0003,793.8524169921875,0.28109097480773926,-2.272145129740238,-0.006513460777932778,2080.77601890564,0.021923828125,220,0.2,0.005469861
615,-7.25,8192,4,200.0,13,0.0003,1554.2825927734375,0.2592836022377014,-2.2476977713406088,-0.011173671037249732,2572.2489852905273,0.067041015625,230,0.2,0.010770124
603,-15.686274509803921,10240,5,200.0,16,0.0003,1418.2078857421875,0.3013412356376648,-2.1775706604123117,-0.008076862638699823,2978.8641555786135,0.050341796875,240,0.2,0.00837747
875,103.0,2048,1,200.0,2,0.0003,1010.1868896484375,0.25262874364852905,-2.137077460438013,-0.009919592367077712,2344.9638900756836,0.06015625,250,0.2,0.008025612
688,-27.0,4096,2,200.0,5,0.0003,1075.6051025390625,0.3631342649459839,-2.255565359443426,-0.010752670824876987,2301.512684631348,0.062158203125,260,0.2,0.008043239
637,-53.666666666666664,6144,3,200.0,9,0.0003,1118.640869140625,0.3420400619506836,-2.2273346282541753,-0.00822622411797056,1437.6672187805175,0.049853515625,270,0.2,0.010129444
615,-54.0,8192,4,200.0,13,0.0003,530.8101806640625,0.32185232639312744,-2.187214606255293,-0.010816517802595627,1585.3075538635253,0.05224609375,280,0.2,0.011247056
602,-37.05882352941177,10240,5,200.0,16,0.0003,678.6537475585938,0.36273956298828125,-2.1721759505569933,-0.004858084193256218,1821.4394729614257,0.013818359375,290,0.2,0.0057734037
863,-12.0,2048,1,200.0,2,0.0003,664.8150024414062,0.377583384513855,-2.1909350134432315,-0.008645416065701284,1974.7680883407593,0.04638671875,300,0.2,0.0076880096
682,-61.0,4096,2,200.0,6,0.0003,420.2992858886719,0.49932074546813965,-2.1213507540524006,-0.007131006829877151,1611.2368968963624,0.051953125,260,0.2,0.0077053998
636,-27.333333333333332,6144,3,200.0,9,0.0003,819.2320556640625,0.19866645336151123,-2.1702285811305044,-0.008305914173251949,2554.845818901062,0.04912109375,270,0.2,0.009332005
614,-43.75,8192,4,200.0,13,0.0003,516.5982055664062,0.5213273763656616,-2.1514100529253484,-0.008499848908104467,1460.0582962036133,0.051953125,280,0.2,0.007838246
603,-38.8235294117647,10240,5,200.0,16,0.0003,867.1967163085938,0.19299376010894775,-2.120997553318739,-0.006535472402174491,2275.9325565338136,0.024609375,290,0.2,0.004569253
879,242.0,2048,1,200.0,2,0.0003,706.8800048828125,0.38954293727874756,-2.133047400414944,-0.009251319337636232,2261.551195716858,0.03837890625,300,0.2,0.008341789
713,123.0,4096,2,200.0,5,0.0003,964.02783203125,0.32335853576660156,-2.169241990149021,-0.007012063285219483,2421.165414047241,0.03779296875,310,0.2,0.008876162
670,110.0,6144,3,200.0,9,0.0003,1160.8740234375,0.43837541341781616,-2.1538856625556946,-0.004836693674587877,2012.923724937439,0.024072265625,320,0.2,0.0074268156
652,98.0,8192,4,200.0,12,0.0003,1292.408447265625,0.17146563529968262,-2.194562854617834,-0.012907693612214643,2893.341053771973,0.067919921875,330,0.2,0.012877305
639,77.6470588235294,10240,5,200.0,16,0.0003,1023.4000244140625,0.32656770944595337,-2.1562142074108124,-0.006161075910495128,2440.677031326294,0.02314453125,340,0.2,0.0069769346
915,114.0,2048,1,200.0,2,0.0003,454.7893371582031,0.31686562299728394,-2.125318045914173,-0.008042272333841537,2503.5300455093384,0.041845703125,350,0.2,0.010861344
702,7.0,4096,2,200.0,5,0.0003,1013.8214721679688,0.5892990827560425,-2.11232795342803,-0.009521946830500384,1872.754999923706,0.046923828125,310,0.2,0.007469143
663,-14.0,6144,3,200.0,9,0.0003,592.3861083984375,0.6114774942398071,-2.10962500423193,-0.006739663310872857,1594.6809482574463,0.033740234375,320,0.2,0.007607419
643,31.75,8192,4,200.0,12,0.0003,685.960205078125,0.4068409204483032,-2.0802710130810738,-0.007966826112533455,1930.4545909881592,0.0447265625,330,0.2,0.008775804
628,64.11764705882354,10240,5,200.0,16,0.0003,1202.8394775390625,0.4056791663169861,-2.0816866748034952,-0.010582137151504866,2542.5671394348146,0.062255859375,340,0.2,0.008542923
774,9.0,2048,1,200.0,2,0.0003,879.03955078125,0.3109053373336792,-2.046660326421261,-0.010228972570621409,2215.6646614074707,0.07021484375,350,0.2,0.011486601
629,41.5,4096,2,200.0,6,0.0003,740.0711669921875,0.4663836359977722,-2.1460553392767907,-0.004880657051398884,2153.95710105896,0.011669921875,360,0.2,0.0064253258
587,47.0,6144,3,200.0,10,0.0003,974.4354248046875,0.48642247915267944,-2.0957164891064166,-0.01096474122168729,2502.4761697769163,0.082958984375,370,0.2,0.011510141
567,67.25,8192,4,200.0,14,0.0003,1020.4537353515625,0.561601996421814,-2.0806799232959747,-0.006373682062258012,1829.754451751709,0.032568359375,380,0.2,0.0072295023
561,95.09803921568627,10240,5,200.0,18,0.0003,847.6078491210938,0.4743804335594177,-2.0785238809883593,-0.00739668938331306,2568.408183670044,0.0353515625,390,0.2,0.008562644
759,337.0,2048,1,200.0,2,0.0003,568.2415161132812,0.604934811592102,-2.0605720669031142,-0.009179936401778832,2017.3446653366088,0.058154296875,400,0.2,0.009201097
619,234.5,4096,2,200.0,6,0.0003,1765.2303466796875,0.28476905822753906,-2.0552102085202932,-0.00958243284112541,3364.426092147827,0.039794921875,360,0.2,0.0065556457
592,227.0,6144,3,200.0,10,0.0003,1012.8815307617188,0.3293749690055847,-2.007613869383931,-0.010338493692688643,2724.175354766846,0.03251953125,370,0.2,0.007944486
586,269.75,8192,4,200.0,13,0.0003,1412.956787109375,0.4276418685913086,-2.0467197090387343,-0.008551910926689743,3296.4679779052735,0.0333984375,380,0.2,0.0072357794
580,306.8627450980392,10240,5,200.0,17,0.0003,1615.263671875,0.4237821698188782,-1.9723434403538704,-0.010713370858866256,3718.0880165100098,0.037353515625,390,0.2,0.007218159
835,192.0,2048,1,200.0,2,0.0003,1352.2801513671875,0.5058889985084534,-1.9041408002376556,-0.0074682442471385,3127.1252624511717,0.02646484375,400,0.2,0.0047314037
672,204.0,4096,2,200.0,6,0.0003,1608.3189697265625,0.41045838594436646,-2.0561508521437646,-0.005188986619759817,2858.424877548218,0.019189453125,410,0.2,0.007266717
601,279.3333333333333,6144,3,200.0,10,0.0003,1387.7276611328125,0.14827775955200195,-2.0359471548348664,-0.004658287219353951,3787.4639930725098,0.0052734375,420,0.2,0.007412396
589,316.5,8192,4,200.0,13,0.0003,1718.2379150390625,0.34105080366134644,-2.0884135186672212,-0.009078342591237742,3936.6220260620116,0.065234375,430,0.2,0.011494674
581,320.98039215686276,10240,5,200.0,17,0.0003,1707.3271484375,0.482795774936676,-2.0867994144558906,-0.00422949343919754,3303.6151180267334,0.01513671875,440,0.2,0.0072911223
754,235.0,2048,1,200.0,2,0.0003,544.7464599609375,0.5245471000671387,-2.102376265078783,-0.005347328979405574,3209.12801322937,0.02666015625,450,0.2,0.007274424
626,267.5,4096,2,200.0,6,0.0003,1849.3438720703125,0.37667858600616455,-1.863200528919697,-0.008148537061060779,3674.0734001159667,0.032080078125,410,0.2,0.006990678
593,331.0,6144,3,200.0,10,0.0003,1380.367431640625,0.36203962564468384,-1.890029726549983,-0.00981425273057539,3434.8021366119383,0.05947265625,420,0.2,0.008703807
567,373.75,8192,4,200.0,14,0.0003,1819.0390625,0.4208714962005615,-1.8232106033712625,-0.00903215277212439,3949.2915534973145,0.040673828125,430,0.2,0.0064925635
559,399.01960784313724,10240,5,200.0,18,0.0003,2969.10302734375,0.324054479598999,-1.871925552934408,-0.0070400592579971995,5086.527426147461,0.02646484375,440,0.2,0.005814148
787,375.0,2048,1,200.0,2,0.0003,1346.537109375,0.37046629190444946,-1.8322644062340259,-0.006260026778909378,3727.8460643768312,0.02939453125,450,0.2,0.006557769
631,485.0,4096,2,200.0,6,0.0003,1606.5325927734375,0.5718570351600647,-2.103742238879204,-0.00523919961269712,3423.2472370147707,0.007763671875,460,0.2,0.0050826604
600,494.3333333333333,6144,3,200.0,10,0.0003,1785.9163818359375,0.3860965967178345,-2.0876518271863462,-0.005187028304499108,4836.780222320556,0.00947265625,470,0.2,0.0061071804
589,508.5,8192,4,200.0,13,0.0003,1965.897705078125,0.44922488927841187,-2.1156782396137714,-0.007381289293334703,4465.604248809815,0.042529296875,480,0.2,0.0075798417
589,471.96078431372547,10240,5,200.0,17,0.0003,1422.01318359375,0.38276731967926025,-2.0708555787801743,-0.008896187841310165,4055.608602142334,0.043359375,490,0.2,0.011047259
921,522.0,2048,1,200.0,2,0.0003,988.7026977539062,0.5628432035446167,-1.971340912207961,-0.009345955318713095,2590.3695117950438,0.068115234375,500,0.2,0.010909762
714,424.5,4096,2,200.0,5,0.0003,1516.0765380859375,0.44481611251831055,-1.786155766621232,-0.009878978141205152,3731.7325565338133,0.058056640625,460,0.2,0.00831043
670,504.6666666666667,6144,3,200.0,9,0.0003,1217.8262939453125,0.39937663078308105,-1.7358066506683827,-0.00756349964212859,3457.7820236206053,0.0390625,470,0.2,0.0065495335
