time/fps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,train/approx_kl,train/policy_gradient_loss,train/loss,train/explained_variance,train/value_loss,train/entropy_loss,train/clip_range,train/clip_fraction,train/n_updates,train/learning_rate
599,-530.0,3,8,2048,200.0,0.013288755,-0.004439338902011513,18.951580047607422,-0.3116309642791748,27.9345760345459,-1.1799935519695282,0.3,0.0,18070,0.0003
601,-522.7272727272727,3,9,2304,200.0,0.0017252653,0.0011243469547480346,169.50411987304688,0.47073251008987427,407.5632568359375,-1.2325633645057679,0.3,0.0,18080,0.0003
602,-529.1666666666666,4,10,2560,200.0,8.910615e-05,-0.0007291930029168725,60.24345397949219,-0.4946556091308594,232.52237243652343,-1.2309497475624085,0.3,0.0,18090,0.0003
601,-535.7142857142857,4,11,2816,200.0,4.514656e-05,-0.00032904453109949827,91.29379272460938,0.30776911973953247,262.52538681030273,-1.2304427027702332,0.3,0.0,18100,0.0003
603,-526.6666666666666,5,12,3072,200.0,0.00015699025,-0.001324344496242702,219.69261169433594,0.32143545150756836,382.5619415283203,-1.230485337972641,0.3,0.0,18110,0.0003
605,-525.0,5,13,3328,200.0,0.0003939881,-0.0010873659746721386,22.872631072998047,0.4390218257904053,92.06293697357178,-1.2347614765167236,0.3,0.0,18120,0.0003
608,-544.1176470588235,5,14,3584,200.0,0.00035257288,-0.0012571638217195868,123.6059341430664,-0.14891791343688965,335.94853057861326,-1.2232614040374756,0.3,0.0,18130,0.0003
611,-528.9473684210526,6,15,3840,200.0,0.0002094321,-0.0009874092182144522,52.23731994628906,0.5953612327575684,165.25262832641602,-1.2199519395828247,0.3,0.0,18140,0.0003
613,-522.5,6,16,4096,200.0,0.0007470981,-0.0015122967772185803,53.3392219543457,-2.1943986415863037,126.94271926879883,-1.2118262231349946,0.3,0.0,18150,0.0003
615,-516.6666666666666,7,17,4352,200.0,0.009070501,-0.006097585125826299,12.092084884643555,0.0010862350463867188,25.493132448196413,-1.2222188234329223,0.3,0.00625,18160,0.0003
