time/total_timesteps,time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/loss,train/n_updates
2816,11,919,3,336.42857142857144,200.0,0.0038235756,-1.821401560306549,0.0003,0.0,0.3,-0.0011102947872132062,10399.580712890625,0.15261894464492798,6776.79296875,1300
3072,12,920,3,331.26666666666665,200.0,0.0029816232,-1.7923069894313812,0.0003,0.0,0.3,-0.001897182606626302,12667.110049438477,0.134540855884552,3550.448486328125,1310
3328,13,914,3,359.875,200.0,0.00873966,-1.6702242076396943,0.0003,0.0,0.3,-0.0033646556781604885,6592.946499633789,0.14406675100326538,3605.9306640625,1320
3584,14,914,3,358.4117647058824,200.0,0.0017416626,-1.5180098235607147,0.0003,0.0,0.3,-0.004844835237599909,13241.022924804687,0.10730844736099243,5165.06787109375,1330
3840,15,918,4,359.5263157894737,200.0,0.0014327103,-1.5573769152164458,0.0003,0.0,0.3,-0.0009622900513932108,12568.664929199218,0.17878276109695435,5324.24267578125,1340
4096,16,915,4,354.0,200.0,0.0006414347,-1.66221581697464,0.0003,0.0,0.3,9.026420302689075e-05,17766.24326171875,0.16041123867034912,9727.1748046875,1350
4352,17,916,4,358.2857142857143,200.0,0.008311681,-1.5398392379283905,0.0003,0.001953125,0.3,-0.006860141316428781,13038.814414978027,0.1730751395225525,6946.86376953125,1360
4608,18,914,5,354.7391304347826,200.0,0.003037347,-1.6055868327617646,0.0003,0.0,0.3,-0.0030088042607530952,6254.744499969483,0.11341273784637451,6104.5458984375,1370
4864,19,913,5,355.0416666666667,200.0,0.0002180622,-1.6917726397514343,0.0003,0.0,0.3,-0.00032089974265545604,22552.830834960936,0.16385352611541748,8154.16845703125,1380
5120,20,909,5,360.44,200.0,0.0014883445,-1.6935763299465179,0.0003,0.0,0.3,-0.00045560807920992376,13790.16897354126,0.11645615100860596,9527.2529296875,1390
5376,21,907,5,361.03846153846155,200.0,0.037557393,-1.8094767332077026,0.0003,0.096875,0.3,-0.006625836249440908,6246.6941696167,0.14651978015899658,3403.623779296875,1400
5632,22,905,6,366.07142857142856,200.0,0.016962998,-2.0311420440673826,0.0003,0.01796875,0.3,-0.014053668035194278,12260.919268798829,0.19475889205932617,7844.896484375,1410
5888,23,902,6,360.6896551724138,200.0,0.008173062,-2.0441450655460356,0.0003,0.002734375,0.3,-0.01161166918464005,21634.79775390625,-0.0474848747253418,13773.115234375,1420
6144,24,898,6,365.26666666666665,200.0,0.0037641583,-1.991396999359131,0.0003,0.0,0.3,-0.0052778727374970915,27787.66630859375,0.043239593505859375,17427.859375,1430
6400,25,897,7,361.53125,200.0,0.0149953645,-2.0485482573509217,0.0003,0.0,0.3,-0.011194535251706838,10953.214807128907,0.18992900848388672,5141.56689453125,1440
6656,26,899,7,362.57575757575756,200.0,0.004392146,-1.8473151981830598,0.0003,0.0,0.3,-0.0011109464336186647,17049.471606445313,0.06888818740844727,9049.283203125,1450
6912,27,900,7,364.11764705882354,200.0,0.0002769418,-1.7880197167396545,0.0003,0.0,0.3,-0.001431665592826903,22465.60048828125,0.18017196655273438,19211.44921875,1460
7168,28,896,7,366.8857142857143,200.0,0.00523643,-1.8108233094215394,0.0003,0.001953125,0.3,-0.002281956770457327,8168.717120742798,0.1719416379928589,8115.478515625,1470
7424,29,898,8,362.56756756756755,200.0,0.000898015,-2.0508685052394866,0.0003,0.0,0.3,0.0009364517405629158,6232.649478149414,0.16494816541671753,147.94801330566406,1480
