time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/value_loss,train/learning_rate,train/approx_kl,train/loss,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/n_updates,train/clip_range
39,1033,9,200.0,9984,-498.7755102040816,907.0018508911132,0.0003,0.0037521657,548.5274658203125,-2.449185335636139,-0.004530979716219008,0.000390625,0.08511978387832642,380,0.3
40,1030,9,200.0,10240,-483.921568627451,967.5582855224609,0.0003,0.0056844214,569.6009521484375,-2.4892491817474367,-0.007713973429054022,0.0171875,0.005501508712768555,390,0.3
1,1260,0,200.0,256,-4350.0,956.7434600830078,0.0003,0.00032706652,514.6259155273438,-2.4703518986701964,0.00040218704380095004,0.0,0.0822150707244873,400,0.3
2,1180,0,200.0,512,-4625.0,15522.708642578125,0.0003,0.00025652908,8024.1533203125,-2.564852476119995,-0.0035304096760228275,0.0,0.0019342303276062012,10,0.3
3,1124,0,200.0,768,-4223.333333333333,14113.3484375,0.0003,0.00021408917,6263.2177734375,-2.5645175218582152,-0.002870105626061559,0.0,0.0042005181312561035,20,0.3
4,1111,0,200.0,1024,-3968.0,11401.137060546875,0.0003,0.00020020269,6379.10400390625,-2.564027965068817,-0.0029352342477068304,0.0,-0.0010885000228881836,30,0.3
5,1097,1,200.0,1280,-3858.3333333333335,9550.689794921875,0.0003,0.00029418943,4653.759765625,-2.5630704045295714,-0.0033266994170844553,0.0,-0.0002690553665161133,40,0.3
6,1096,1,200.0,1536,-3924.285714285714,10406.198388671875,0.0003,0.00024223258,5239.5458984375,-2.5624670147895814,-0.0026067083701491354,0.0,5.525350570678711e-05,50,0.3
7,1090,1,200.0,1792,-4016.25,14833.7787109375,0.0003,0.00024156249,7197.51318359375,-2.5609997749328612,-0.002962088165804744,0.0,-0.00025594234466552734,60,0.3
8,1064,1,200.0,2048,-3977.0,11225.894775390625,0.0003,0.00015047775,5518.11181640625,-2.5602397203445433,-0.0022987610194832087,0.0,-0.00019419193267822266,70,0.3
9,1062,2,200.0,2304,-4000.0,9776.872802734375,0.0003,0.0004411498,4953.1181640625,-2.558700203895569,-0.004646672727540135,0.0,-4.982948303222656e-05,80,0.3
10,1060,2,200.0,2560,-4010.8333333333335,11902.21064453125,0.0003,0.0004667691,6668.29541015625,-2.554663383960724,-0.004373227409087121,0.0,2.5987625122070312e-05,90,0.3
11,1061,2,200.0,2816,-4040.714285714286,11375.22626953125,0.0003,0.00030096923,5562.29296875,-2.5512404441833496,-0.0034118878655135633,0.0,-8.499622344970703e-05,100,0.3
12,1058,2,200.0,3072,-4067.3333333333335,12218.064990234376,0.0003,0.0004247909,6182.5693359375,-2.5475077390670777,-0.003632140415720642,0.0,-5.936622619628906e-05,110,0.3
13,1049,3,200.0,3328,-4055.0,12154.2216796875,0.0003,0.0004514677,5518.30615234375,-2.542393660545349,-0.0026379723101854326,0.0,-0.0001010894775390625,120,0.3
14,1045,3,200.0,3584,-4092.9411764705883,12547.61748046875,0.0003,0.0005641384,6290.8681640625,-2.5376964926719667,-0.0045696455519646404,0.0,-0.00010383129119873047,130,0.3
15,1043,3,200.0,3840,-4012.1052631578946,8794.674462890625,0.0003,0.0010472941,4191.92138671875,-2.5252830147743226,-0.004996389732696116,0.0,4.172325134277344e-07,140,0.3
16,1045,3,200.0,4096,-4044.5,8995.036108398437,0.0003,0.0010915475,4369.7041015625,-2.5203710317611696,-0.005019438569433987,0.0,-7.510185241699219e-05,150,0.3
17,1047,4,200.0,4352,-4030.9523809523807,13257.305078125,0.0003,0.0013656155,6515.6376953125,-2.5043543338775636,-0.005847667891066522,0.0,-8.344650268554688e-07,160,0.3
18,1050,4,200.0,4608,-3979.5652173913045,10044.660009765625,0.0003,0.0036261554,5188.9951171875,-2.474479913711548,-0.012859521619975566,0.0,-4.112720489501953e-05,170,0.3
19,1044,4,200.0,4864,-3938.3333333333335,7183.6871337890625,0.0003,0.0081995595,3126.82177734375,-2.429365611076355,-0.019035219447687268,0.0,-1.1920928955078125e-05,180,0.3
20,1047,4,200.0,5120,-3888.0,7136.9827880859375,0.0003,0.014642138,3330.357666015625,-2.331313896179199,-0.026477422332391143,0.0,-0.00010836124420166016,190,0.3
21,1049,5,200.0,5376,-3826.153846153846,5035.4708251953125,0.0003,0.012062655,2417.586669921875,-2.1852784872055055,-0.017592142103239894,0.0,-2.956390380859375e-05,200,0.3
22,1038,5,200.0,5632,-3706.0714285714284,3507.3665771484375,0.0003,0.024659745,1526.2789306640625,-2.0007093131542204,-0.027470616973005235,0.021484375,-1.1086463928222656e-05,210,0.3
23,1041,5,200.0,5888,-3638.2758620689656,3063.5580078125,0.0003,0.03362973,1523.2037353515625,-1.8373959958553314,-0.03412861693650484,0.032421875,-4.172325134277344e-06,220,0.3
24,1039,5,200.0,6144,-3575.3333333333335,2639.7495361328124,0.0003,0.030969266,1376.93310546875,-1.4894497275352478,-0.029448097059503197,0.044921875,-1.4901161193847656e-05,230,0.3
25,1040,6,200.0,6400,-3416.5625,829.8722106933594,0.0003,0.022303686,414.26043701171875,-1.2529885411262511,-0.018857972184196114,0.059765625,4.0531158447265625e-06,240,0.3
26,1042,6,200.0,6656,-3326.6666666666665,1846.6749694824218,0.0003,0.030000575,696.722900390625,-1.1040192008018495,-0.018517069332301617,0.01484375,2.962350845336914e-05,250,0.3
27,1040,6,200.0,6912,-3252.3529411764707,852.3321960449218,0.0003,0.0067182537,542.1790771484375,-0.921816611289978,-0.01682296704966575,0.031640625,-2.384185791015625e-05,260,0.3
28,1043,6,200.0,7168,-3179.714285714286,1105.728125,0.0003,0.016594788,500.2286682128906,-0.9567347139120101,-0.009943750873208045,0.009375,-2.9921531677246094e-05,270,0.3
29,1044,7,200.0,7424,-3040.5405405405404,1235.1286987304688,0.0003,0.048043683,536.8206787109375,-0.8904874116182327,-0.0190146935172379,0.078125,1.3709068298339844e-06,280,0.3
30,1045,7,200.0,7680,-2981.5789473684213,297.9995178222656,0.0003,0.025084645,180.4633026123047,-0.7823655098676682,-0.008645184896886348,0.012890625,-2.6464462280273438e-05,290,0.3
31,1045,7,200.0,7936,-2919.4871794871797,282.52051544189453,0.0003,0.0012539702,134.82247924804688,-0.6855700075626373,-0.00560819860547781,0.001171875,1.2993812561035156e-05,300,0.3
32,1047,7,200.0,8192,-2863.25,98.70238227844239,0.0003,0.001815245,58.99101638793945,-0.65377157330513,-0.004675907245837152,0.001953125,4.0590763092041016e-05,310,0.3
33,1047,8,200.0,8448,-2758.809523809524,126.36127548217773,0.0003,0.0039871,73.96416473388672,-0.7070761620998383,-0.00040956104639917613,0.000390625,2.1278858184814453e-05,320,0.3
