time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/value_loss,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/n_updates,train/clip_range,train/approx_kl,train/learning_rate
2,200.0,10,140.83333333333334,1066,2560,63.38235688209534,0.12734375,-1.9642338871955871,-0.010773149511078373,-0.10821366310119629,5.006031513214111,2490,0.3,0.02636917,0.0003
2,200.0,11,217.85714285714286,1068,2816,544.3581520080567,0.000390625,-1.4982572317123413,0.0001341917086392641,0.4456309676170349,204.15516662597656,2500,0.3,0.003488309,0.0003
2,200.0,12,266.6666666666667,1065,3072,666.7097549438477,0.0,-1.0955947577953338,-0.0018734990619122982,0.2916310429573059,426.18096923828125,2510,0.3,0.0013457993,0.0003
3,200.0,13,307.5,1059,3328,985.6671463012696,0.007421875,-1.0007468789815903,-0.003481093724258244,0.22963422536849976,523.8787841796875,2520,0.3,0.007075147,0.0003
3,200.0,14,300.5882352941176,1058,3584,854.1802551269532,0.0,-1.0990777909755707,-0.0020902395714074372,0.3250197172164917,418.8074035644531,2530,0.3,0.0041289125,0.0003
3,200.0,15,337.89473684210526,1059,3840,879.4257537841797,0.0,-1.3324251532554627,-0.0018633568659424781,0.4402916431427002,570.0281982421875,2540,0.3,0.0013711073,0.0003
3,200.0,16,355.0,1062,4096,289.7212257385254,0.001953125,-1.7022740185260772,-0.0028060170589014888,0.48269540071487427,239.1549835205078,2550,0.3,0.0040589552,0.0003
4,200.0,17,379.5238095238095,1056,4352,799.0898406982421,0.005078125,-1.312254536151886,-0.004821511451154947,0.40334320068359375,477.41058349609375,2560,0.3,0.0036411758,0.0003
4,200.0,18,427.82608695652175,1054,4608,656.204067993164,0.0,-1.4519575595855714,-0.0026201647939160465,0.4267917275428772,442.3274230957031,2570,0.3,0.0014266337,0.0003
4,200.0,19,467.9166666666667,1048,4864,905.6560516357422,0.004296875,-1.4485517203807832,-0.004986593360081315,0.42360007762908936,361.61376953125,2580,0.3,0.0058305217,0.0003
