time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/clip_range,train/explained_variance,train/learning_rate,train/approx_kl,train/n_updates,train/entropy_loss,train/loss
2,-575.0,1281,200.0,0,512,-0.017019521817564963,479.8650924682617,0.02109375,0.3,-3.4928321838378906e-05,0.0003,0.014805302,410,-1.373893564939499,190.29684448242188
3,-546.6666666666666,1229,200.0,0,768,-0.011635805014520884,174.67896728515626,0.01484375,0.3,-1.3232231140136719e-05,0.0003,0.011237577,420,-1.1570723116397859,83.53751373291016
4,-506.0,1210,200.0,0,1024,-0.008845833409577609,164.39418106079103,0.008203125,0.3,-3.159046173095703e-05,0.0003,0.005797725,430,-1.0364786356687545,77.6742172241211
5,-491.6666666666667,1194,200.0,1,1280,-0.011101258685812354,95.8432601928711,0.098046875,0.3,3.933906555175781e-06,0.0003,0.02447367,440,-1.056884554028511,45.044837951660156
6,-485.7142857142857,1185,200.0,1,1536,-0.0011805495014414191,69.3384822845459,0.0,0.3,5.745887756347656e-05,0.0003,0.0033044752,450,-1.0581095695495606,35.38754653930664
7,-478.75,1179,200.0,1,1792,-0.0052541137207299474,76.46827697753906,0.0109375,0.3,2.1457672119140625e-05,0.0003,0.004323504,460,-1.0761683523654937,34.72658920288086
8,-468.0,1176,200.0,1,2048,-0.01502995598129928,110.52651710510254,0.02734375,0.3,7.748603820800781e-07,0.0003,0.03246645,470,-1.0232811748981476,41.60818862915039
9,-467.27272727272725,1172,200.0,1,2304,-0.006317246262915433,71.7854393005371,0.03046875,0.3,-2.682209014892578e-05,0.0003,0.010936455,480,-0.7818658500909805,33.42826843261719
10,-462.5,1169,200.0,2,2560,-0.003316989843733609,125.87222518920899,0.0015625,0.3,1.0788440704345703e-05,0.0003,0.0024467774,490,-0.7443293899297714,56.66374588012695
11,-455.0,1164,200.0,2,2816,-0.0037037420785054564,72.01400642395019,0.0,0.3,-4.470348358154297e-05,0.0003,0.0049544154,500,-0.7609931260347367,33.13319778442383
12,-452.6666666666667,1162,200.0,2,3072,-0.0015609696740284563,52.20200958251953,0.003125,0.3,8.404254913330078e-06,0.0003,0.0024032178,510,-0.7469016045331955,27.00531578063965
13,-450.0,1159,200.0,2,3328,-0.004629376903176307,66.91497974395752,0.003125,0.3,3.635883331298828e-06,0.0003,0.0019454104,520,-0.7495215386152267,31.61910629272461
14,-447.6470588235294,1156,200.0,3,3584,-0.005323054967448115,51.31997241973877,0.004296875,0.3,-1.2278556823730469e-05,0.0003,0.0017097862,530,-0.6911051034927368,23.32447052001953
15,-443.6842105263158,1155,200.0,3,3840,-0.007238815259188414,44.00847568511963,0.005078125,0.3,-1.895427703857422e-05,0.0003,0.004003521,540,-0.6903648555278779,18.809967041015625
16,-446.5,1154,200.0,3,4096,-0.009879255853593349,58.0485502243042,0.08671875,0.3,-1.728534698486328e-05,0.0003,0.024437841,550,-0.5562243342399598,26.698421478271484
17,-444.76190476190476,1154,200.0,3,4352,-0.008659476833418011,211.97798919677734,0.02734375,0.3,3.790855407714844e-05,0.0003,0.008603617,560,-0.5544726520776748,142.3800811767578
18,-443.9130434782609,1152,200.0,3,4608,-0.015538412518799305,93.20699195861816,0.04765625,0.3,-2.6226043701171875e-06,0.0003,0.020360313,570,-0.5093968614935875,47.130760192871094
19,-446.25,1151,200.0,4,4864,-0.003861969942227006,48.03902111053467,0.02421875,0.3,1.1801719665527344e-05,0.0003,0.011043768,580,-0.34480147808790207,26.61004066467285
20,-444.4,1150,200.0,4,5120,-0.004648127360269427,200.7500862121582,0.00078125,0.3,5.9604644775390625e-06,0.0003,0.0013003673,590,-0.31267207115888596,83.467529296875
21,-443.0769230769231,1150,200.0,4,5376,-0.0016310738865286112,33.67322702407837,0.002734375,0.3,3.516674041748047e-06,0.0003,0.0012625693,600,-0.33409502506256106,19.221643447875977
22,-441.42857142857144,1150,200.0,4,5632,-0.007081362209282816,39.82156038284302,0.023046875,0.3,-4.112720489501953e-05,0.0003,0.008045678,610,-0.25882112309336663,20.19292640686035
23,-440.3448275862069,1150,200.0,5,5888,-0.004879000806249678,56.863369178771975,0.0203125,0.3,-1.3470649719238281e-05,0.0003,0.0037236,620,-0.23587825149297714,36.16572189331055
24,-439.0,1150,200.0,5,6144,0.00013265080633573234,35.94692459106445,0.0,0.3,-4.291534423828125e-05,0.0003,0.00041320338,630,-0.22525654062628747,16.331764221191406
25,-436.5625,1149,200.0,5,6400,2.2300542332232e-05,29.564657592773436,0.0,0.3,-2.86102294921875e-06,0.0003,5.5646524e-08,640,-0.224087842553854,11.812262535095215
26,-436.06060606060606,1148,200.0,5,6656,-0.0015773507300764322,43.00921096801758,0.00703125,0.3,-5.960464477539062e-07,0.0003,0.0033360124,650,-0.1940928503870964,25.406442642211914
27,-435.29411764705884,1147,200.0,6,6912,-0.006177892559207976,36.04254808425903,0.0203125,0.3,4.231929779052734e-06,0.0003,0.00671543,660,-0.12698810510337352,16.991554260253906
28,-434.2857142857143,1147,200.0,6,7168,-0.0005030838074162602,27.36546754837036,0.0,0.3,-4.76837158203125e-07,0.0003,0.00036779116,670,-0.09888616539537906,12.027327537536621
29,-432.43243243243245,1146,200.0,6,7424,-0.00021426077000796795,26.801352977752686,0.0,0.3,3.5762786865234375e-07,0.0003,9.845989e-05,680,-0.08334422037005425,10.984973907470703
30,-431.57894736842104,1146,200.0,6,7680,-4.329485818743706e-07,43.0911584854126,0.0,0.3,3.7550926208496094e-06,0.0003,1.3916986e-05,690,-0.08637720122933387,23.203754425048828
31,-430.7692307692308,1147,200.0,6,7936,0.0007893457543104887,26.06862163543701,0.0,0.3,1.9669532775878906e-06,0.0003,3.08929e-05,700,-0.12032241858541966,13.7649507522583
32,-430.0,1147,200.0,7,8192,-5.058785900473595e-05,25.687194490432738,0.0,0.3,-6.318092346191406e-06,0.0003,7.425598e-05,710,-0.10690914206206799,12.022411346435547
33,-428.57142857142856,1146,200.0,7,8448,-0.0003812757786363363,25.439173316955568,0.001953125,0.3,-1.5497207641601562e-06,0.0003,0.00064662565,720,-0.11643585301935673,15.82310962677002
34,-427.90697674418607,1147,200.0,7,8704,-0.0006049570627510547,42.65148735046387,0.004296875,0.3,5.364418029785156e-07,0.0003,0.0012621307,730,-0.11700314432382583,13.33777141571045
35,-427.27272727272725,1146,200.0,7,8960,-0.0004442648263648152,25.278498315811156,0.0,0.3,0.0,0.0003,0.00054927357,740,-0.09060211591422558,12.588723182678223
36,-426.0869565217391,1146,200.0,8,9216,-0.0006783395307138562,25.171584701538087,0.003515625,0.3,-6.4373016357421875e-06,0.0003,0.0011519778,750,-0.06627601832151413,10.23945426940918
37,-425.531914893617,1145,200.0,8,9472,-0.00015944628976285457,46.45138254165649,0.00078125,0.3,2.1457672119140625e-06,0.0003,0.0005437746,760,-0.06332632470875979,24.876728057861328
38,-426.875,1145,200.0,8,9728,0.0001296357251703739,25.354613304138184,0.0,0.3,-1.9073486328125e-05,0.0003,8.03275e-05,770,-0.08618070743978024,12.639052391052246
39,-426.3265306122449,1145,200.0,8,9984,-0.0021209844388067724,138.15031356811522,0.00078125,0.3,-3.5762786865234375e-07,0.0003,0.00038600783,780,-0.0760152768343687,50.0849723815918
40,-425.29411764705884,1145,200.0,8,10240,-0.0006617279257625341,25.376188611984254,0.00625,0.3,2.86102294921875e-06,0.0003,0.0029792895,790,-0.05771120823919773,19.29832649230957
1,-400.0,1520,200.0,0,256,-0.00022812567185610534,47.9135027885437,0.0,0.3,2.562999725341797e-06,0.0003,0.00014569378,800,-0.03878944292664528,22.19289779663086
2,-400.0,1320,200.0,0,512,-0.0004900509724393487,71.03770599365234,0.0,0.3,-7.545948028564453e-05,0.0003,0.0005429161,410,-0.3263259619474411,34.982154846191406
3,-420.0,1255,200.0,0,768,-0.0029715890064835548,68.27137813568115,0.04296875,0.3,-3.635883331298828e-05,0.0003,0.008082658,420,-0.34046553522348405,32.39939498901367
4,-418.0,1228,200.0,0,1024,-0.007504103076644242,167.28490524291993,0.008984375,0.3,-2.6464462280273438e-05,0.0003,0.004225337,430,-0.4006639331579208,77.50125122070312
5,-420.0,1216,200.0,1,1280,-0.0002825071336701512,63.36132698059082,0.0,0.3,-6.794929504394531e-06,0.0003,0.00025390298,440,-0.4293104514479637,28.322662353515625
6,-417.14285714285717,1206,200.0,1,1536,-0.004979198332875967,92.15410041809082,0.0015625,0.3,-3.635883331298828e-05,0.0003,0.004331328,450,-0.3939163312315941,42.0080680847168
7,-415.0,1200,200.0,1,1792,-0.0023398921359330414,58.15158748626709,0.01640625,0.3,-8.940696716308594e-06,0.0003,0.0062395665,460,-0.384146086871624,28.49797248840332
8,-414.0,1193,200.0,1,2048,-0.0005018114112317562,55.8516881942749,0.01484375,0.3,-1.9669532775878906e-05,0.0003,0.0052393265,470,-0.45406804978847504,25.026947021484375
9,-412.72727272727275,1192,200.0,1,2304,-0.002936264011077583,73.98785743713378,0.001171875,0.3,-2.8252601623535156e-05,0.0003,0.0033648943,480,-0.5173750206828117,29.34111976623535
10,-411.6666666666667,1187,200.0,2,2560,-0.00013135431800037622,51.44947490692139,0.01015625,0.3,0.0,0.0003,0.009806035,490,-0.6276724874973297,26.72144889831543
11,-411.42857142857144,1184,200.0,2,2816,-0.006791398162022233,49.387946701049806,0.1,0.3,-4.9233436584472656e-05,0.0003,0.011748677,500,-0.7141487985849381,24.590240478515625
12,-410.6666666666667,1182,200.0,2,3072,-0.010339709091931581,67.20548820495605,0.093359375,0.3,-3.337860107421875e-05,0.0003,0.026152972,510,-0.7516304701566696,30.676671981811523
13,-410.0,1181,200.0,2,3328,-0.009086425602436065,45.518686294555664,0.078125,0.3,0.0,0.0003,0.05041989,520,-0.7466258108615875,20.866722106933594
14,-412.94117647058823,1180,200.0,3,3584,-0.004738105344586074,43.70286960601807,0.053125,0.3,2.9742717742919922e-05,0.0003,0.022264935,530,-0.7106877982616424,20.723196029663086
15,-413.1578947368421,1178,200.0,3,3840,-0.01319490885362029,147.22453079223632,0.00390625,0.3,2.4497509002685547e-05,0.0003,0.018277833,540,-0.7315382897853852,67.44127655029297
16,-412.5,1175,200.0,3,4096,-0.007996738539077342,65.75722579956054,0.05703125,0.3,2.2470951080322266e-05,0.0003,0.02623589,550,-0.5974595695734024,30.038789749145508
17,-411.9047619047619,1173,200.0,3,4352,-0.004978512838715687,38.78575801849365,0.0609375,0.3,0.0,0.0003,0.016005289,560,-0.6096147924661637,19.097875595092773
18,-410.8695652173913,1170,200.0,3,4608,-0.009377441089600324,37.311856746673584,0.08203125,0.3,0.0,0.0003,0.03297976,570,-0.586825254559517,16.09376335144043
19,-410.4166666666667,1169,200.0,4,4864,-0.0014706687536090613,45.231160736083986,0.0,0.3,0.0,0.0003,0.0050356695,580,-0.4808379501104355,24.781761169433594
20,-410.0,1168,200.0,4,5120,-0.005166634684428573,34.621016120910646,0.0265625,0.3,0.0,0.0003,0.010065781,590,-0.3861488953232765,15.705948829650879
21,-410.7692307692308,1166,200.0,4,5376,-0.0014374881284311414,33.39903707504273,0.0,0.3,0.0,0.0003,0.0019969242,600,-0.3036118417978287,15.018362998962402
22,-410.0,1166,200.0,4,5632,-0.004699625630746595,54.53272867202759,0.001953125,0.3,-2.1457672119140625e-05,0.0003,0.0031507928,610,-0.24677198380231857,12.407051086425781
23,-409.6551724137931,1165,200.0,5,5888,-0.0005995855201035738,43.38768825531006,0.0,0.3,0.0,0.0003,0.0010761842,620,-0.20687053054571153,22.72170066833496
24,-409.3333333333333,1164,200.0,5,6144,-0.0013147819321602584,30.255396842956543,0.006640625,0.3,-1.1920928955078125e-07,0.0003,0.0024788126,630,-0.20984439477324485,16.162940979003906
25,-408.75,1163,200.0,5,6400,-0.0012454440933652223,29.367384243011475,0.0234375,0.3,5.960464477539063e-08,0.0003,0.0041072867,640,-0.2818083666265011,17.71210289001465
26,-408.4848484848485,1161,200.0,5,6656,-0.0013805922004394232,42.99326467514038,0.00703125,0.3,0.0,0.0003,0.0062563196,650,-0.2794285029172897,21.174549102783203
27,-408.2352941176471,1159,200.0,5,6912,-0.0034878394100815056,27.880382442474364,0.029296875,0.3,0.0,0.0003,0.0073468043,660,-0.17693348973989487,17.378318786621094
28,-408.0,1157,200.0,6,7168,-0.0005090119550004602,27.239210224151613,0.0,0.3,0.0,0.0003,0.00043348153,670,-0.14185476452112197,15.17991828918457
