rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/value_loss,train/explained_variance,train/learning_rate,train/clip_range,train/entropy_loss,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/loss,train/approx_kl
-416.8421052631579,200.0,3840,15,7,501,23.508717894554138,-0.0003999471664428711,0.0003,0.3,-2.2855443358421326,0.0,140,-0.005647649522870779,7.3669939041137695,0.005084452
-416.0,200.0,4096,16,8,505,1.4749506264925003,0.0005714893341064453,0.0003,0.3,-2.275375282764435,0.003125,150,-0.006675875396467745,0.6444665789604187,0.005287454
-414.2857142857143,200.0,4352,17,8,504,2.5155555069446565,-0.0002104043960571289,0.0003,0.3,-2.2348674535751343,0.0,160,-0.009288335405290126,0.6320100426673889,0.00788515
-416.95652173913044,200.0,4608,18,9,504,0.5755072481930256,-0.0008709430694580078,0.0003,0.3,-2.143740451335907,0.16015625,170,-0.020534973638132215,0.41644424200057983,0.058034632
-416.25,200.0,4864,19,9,506,47.75278844833374,-0.00034987926483154297,0.0003,0.3,-2.057972621917725,0.0,180,0.0016095859697088598,24.298301696777344,0.0030245224
-414.8,200.0,5120,20,10,508,3.3745782017707824,0.00016707181930541992,0.0003,0.3,-2.1012382030487062,0.0,190,-0.0028917167568579317,1.585651159286499,0.0012731093
-414.2307692307692,200.0,5376,21,10,508,0.5824885338544845,-0.00328981876373291,0.0003,0.3,-2.081502139568329,0.021875,200,-0.009150612587109207,0.4274834394454956,0.015342394
-415.0,200.0,5632,22,11,508,23.774439668655397,0.00022178888320922852,0.0003,0.3,-2.097482442855835,0.0,210,0.00045542437583208085,14.448750495910645,0.0024365399
-415.17241379310343,200.0,5888,23,11,508,2.17941073179245,-0.00021159648895263672,0.0003,0.3,-2.117570388317108,0.01171875,220,-0.007668377179652452,1.30168616771698,0.011821186
-414.3333333333333,200.0,6144,24,12,507,24.299668991565703,-2.09808349609375e-05,0.0003,0.3,-2.055459678173065,0.002734375,230,-0.01127459593117237,16.63507843017578,0.011395769
-414.6875,200.0,6400,25,12,505,1.4768440634012223,0.0006865859031677246,0.0003,0.3,-1.9655816018581391,0.009765625,240,-0.015787135064601897,1.129966378211975,0.023078151
-414.24242424242425,200.0,6656,26,13,507,24.48945335149765,0.00019663572311401367,0.0003,0.3,-1.8268993675708771,0.0,250,0.006017198483459651,15.5339937210083,0.0031537383
-416.7647058823529,200.0,6912,27,13,510,51.63682584762573,1.1980533599853516e-05,0.0003,0.3,-1.8914650678634644,0.0,260,-0.005015664082020521,27.870689392089844,0.004136037
-420.2857142857143,200.0,7168,28,14,510,69.69146604537964,0.0002365708351135254,0.0003,0.3,-1.9665070116519927,0.000390625,270,-0.004365808656439185,35.727298736572266,0.0039353827
-421.8918918918919,200.0,7424,29,14,512,23.270275139808653,1.0073184967041016e-05,0.0003,0.3,-2.2402756333351137,0.0171875,280,-0.005804541101679206,6.2374444007873535,0.019456323
-422.63157894736844,200.0,7680,30,14,514,58.73105812072754,9.745359420776367e-05,0.0003,0.3,-2.1900912165641784,0.025390625,290,-0.019868604093790054,24.948795318603516,0.025103953
-423.5897435897436,200.0,7936,31,15,514,66.54860191345215,-0.0002167224884033203,0.0003,0.3,-2.354093325138092,0.115234375,300,-0.008669612067751586,29.86133575439453,0.03494119
-423.0,200.0,8192,32,15,513,1.7384571850299835,0.0011209845542907715,0.0003,0.3,-2.311164605617523,0.0,310,-0.0024461900582537057,0.6613956689834595,0.0032507894
-422.85714285714283,200.0,8448,33,16,513,17.401777577400207,-6.258487701416016e-05,0.0003,0.3,-2.462662327289581,0.06640625,320,-0.009382740617729724,15.623586654663086,0.030957507
-424.6511627906977,200.0,8704,34,16,514,46.52687377929688,0.00045818090438842773,0.0003,0.3,-2.554187595844269,0.0296875,330,-0.012705243518576026,29.252532958984375,0.018582128
-424.54545454545456,200.0,8960,35,17,514,24.71060938835144,0.001120150089263916,0.0003,0.3,-2.506728136539459,0.012890625,340,-0.011927802767604589,8.5431489944458,0.011458272
-425.8695652173913,200.0,9216,36,17,514,7.370614624023437,0.005935251712799072,0.0003,0.3,-2.4791232109069825,0.026171875,350,-0.011565468506887555,4.654653549194336,0.026526827
-426.3829787234043,200.0,9472,37,18,514,94.46001148223877,0.00417715311050415,0.0003,0.3,-2.5107927203178404,0.0,360,-0.0038615205558016896,59.15880584716797,0.0060285917
-426.875,200.0,9728,38,18,515,22.577713894844056,-0.003355860710144043,0.0003,0.3,-2.5151808738708494,0.183203125,370,-0.024065577890723944,11.542731285095215,0.061689213
-428.3673469387755,200.0,9984,39,19,515,45.069166851043704,0.0022556185722351074,0.0003,0.3,-2.5067851305007935,0.2296875,380,-0.014849453419446944,8.642816543579102,0.06199404
-427.05882352941177,200.0,10240,40,19,516,2.5674819886684417,-0.0016224384307861328,0.0003,0.3,-2.472683310508728,0.041796875,390,-0.015940519981086254,1.3328275680541992,0.024515716
-400.0,200.0,256,1,0,767,24.089297187328338,-0.0007375478744506836,0.0003,0.3,-2.5091920852661134,0.038671875,400,-0.011986140813678502,15.930170059204102,0.016763736
-385.0,200.0,512,2,0,575,39.224941921234134,0.0364232063293457,0.0003,0.3,-2.564694845676422,0.0,10,-0.0058572614332661034,10.0252685546875,0.0007671744
-56.666666666666664,200.0,768,3,1,526,8780.457395935058,0.0009696483612060547,0.0003,0.3,-2.5629465579986572,0.0,20,-0.000957726570777595,8510.2919921875,0.00029752892
-186.0,200.0,1024,4,1,521,23.768046188354493,0.04131859540939331,0.0003,0.3,-2.5635772228240965,0.0,30,-0.003550041327252984,8.949491500854492,0.0005055142
-221.66666666666666,200.0,1280,5,2,529,9.677887034416198,-0.05873000621795654,0.0003,0.3,-2.563151407241821,0.0,40,-0.0055214621825143695,2.826822280883789,0.0013637405
-105.71428571428571,200.0,1536,6,2,520,9256.25869140625,-0.0003412961959838867,0.0003,0.3,-2.559878444671631,0.0,50,-0.002545820688828826,2775.209228515625,0.0011200423
-13.75,200.0,1792,7,3,521,9313.807183837891,0.0036014318466186523,0.0003,0.3,-2.5568199872970583,0.0,60,-0.001633540168404579,5430.35400390625,0.00023725163
-104.0,200.0,2048,8,3,517,106.19260883331299,-0.025400400161743164,0.0003,0.3,-2.558130121231079,0.0,70,-0.001527101662941277,64.53192901611328,0.00017748005
-129.0909090909091,200.0,2304,9,4,523,30.475972604751586,-0.14181733131408691,0.0003,0.3,-2.5579901576042174,0.0,80,-0.005291838245466351,10.810410499572754,0.0016832806
-72.5,200.0,2560,10,4,522,8987.361376953126,0.0030260086059570312,0.0003,0.3,-2.561732757091522,0.0,90,-0.0007791134994477034,5189.15478515625,0.000377313
-128.57142857142858,200.0,2816,11,5,526,66.1014461517334,-0.0606083869934082,0.0003,0.3,-2.5620583295822144,0.0,100,-0.006245531653985381,29.986845016479492,0.0014596877
-150.0,200.0,3072,12,5,524,61.78848075866699,-0.06758463382720947,0.0003,0.3,-2.5600588798522947,0.0,110,-0.002626950293779373,16.1215877532959,0.0006776855
-106.25,200.0,3328,13,6,528,9179.446551513673,0.0010223388671875,0.0003,0.3,-2.5597025513648988,0.0,120,0.0002793319465126842,5400.94140625,0.00013101962
-70.58823529411765,200.0,3584,14,6,525,8986.042425537109,-0.00021135807037353516,0.0003,0.3,-2.557593083381653,0.0,130,-0.0019619766622781753,4377.52880859375,0.0003785917
-105.26315789473684,200.0,3840,15,7,521,8.100272274017334,-0.06702768802642822,0.0003,0.3,-2.5589373230934145,0.0,140,-0.008707353274803608,3.072131872177124,0.003574063
-71.0,200.0,4096,16,7,520,7442.571134281158,0.0005483031272888184,0.0003,0.3,-2.5417022466659547,0.0,150,-0.0014686742331832647,20.709205627441406,0.003067026
-90.95238095238095,200.0,4352,17,8,525,62.400455474853516,-0.07281613349914551,0.0003,0.3,-2.5279675245285036,0.002734375,160,-0.01247206360567361,39.35036087036133,0.00805524
-118.26086956521739,200.0,4608,18,8,525,32.067080402374266,0.010654151439666748,0.0003,0.3,-2.478298234939575,0.066015625,170,-0.02071771358605474,14.200647354125977,0.02822618
-127.91666666666667,200.0,4864,19,9,529,3.0763172149658202,0.011029601097106934,0.0003,0.3,-2.340115523338318,0.283203125,180,-0.03516233097761869,0.890967607498169,0.059375495
-98.8,200.0,5120,20,9,532,7475.433486366272,0.0005204081535339355,0.0003,0.3,-2.332547199726105,0.00859375,190,0.0028834470896981655,30.551843643188477,0.008534264
-71.53846153846153,200.0,5376,21,10,534,9201.731072998047,-6.008148193359375e-05,0.0003,0.3,-2.362599194049835,0.0,200,-0.002109113405458629,6827.19580078125,0.000782446
-58.214285714285715,200.0,5632,22,10,533,4.025074326992035,0.019564449787139893,0.0003,0.3,-2.361278223991394,0.037109375,210,-0.01976551585830748,1.7931571006774902,0.019368485
-69.65517241379311,200.0,5888,23,11,532,9171.321405029297,0.0012163519859313965,0.0003,0.3,-2.277609884738922,0.0,220,0.005124160321429372,6269.712890625,0.0053202026
-49.0,200.0,6144,24,11,531,8053.101374053955,0.006264925003051758,0.0003,0.3,-2.2620121240615845,0.0,230,-0.002929156459867954,4514.27734375,0.00070634624
-8.4375,200.0,6400,25,12,527,8770.524359130859,0.019764423370361328,0.0003,0.3,-2.283728611469269,0.0,240,-0.004459686274640262,4019.940185546875,0.0011805282
-19.696969696969695,200.0,6656,26,12,524,8914.053335571289,0.01712113618850708,0.0003,0.3,-2.2874356627464296,0.0,250,-0.0023738999851047994,7322.3408203125,0.0011496055
-1.1764705882352942,200.0,6912,27,13,523,8925.039123535156,0.013635456562042236,0.0003,0.3,-2.2966660022735597,0.0,260,-0.0007079017348587513,5321.0205078125,0.00022042613
14.0,200.0,7168,28,13,523,8879.60008544922,-0.03545427322387695,0.0003,0.3,-2.289075827598572,0.0,270,-0.0011639714473858475,6208.07080078125,0.00011487189
42.972972972972975,200.0,7424,29,14,520,8897.835900878907,0.00514751672744751,0.0003,0.3,-2.29352343082428,0.0,280,-0.002062147599644959,2368.80078125,0.00043046917
30.0,200.0,7680,30,14,521,8028.361730957031,0.00560373067855835,0.0003,0.3,-2.2877479672431944,0.0,290,-0.0020730063086375596,4137.21826171875,0.0004973945
45.38461538461539,200.0,7936,31,15,521,9233.484991455078,-0.003468036651611328,0.0003,0.3,-2.2944256544113157,0.0,300,-0.001938774506561458,2414.51806640625,0.00035337475
59.25,200.0,8192,32,15,521,8907.428100585938,0.019681036472320557,0.0003,0.3,-2.292826068401337,0.0,310,-0.002807152736932039,2871.905029296875,0.0007486299
36.666666666666664,200.0,8448,33,16,522,75.6977331161499,-7.954723358154297,0.0003,0.3,-2.29585999250412,0.0,320,-0.0014940352877601982,9.792828559875488,0.00050250394
26.74418604651163,200.0,8704,34,16,522,44.60188202857971,0.12681227922439575,0.0003,0.3,-2.2786036491394044,0.0,330,-0.005217158200684935,20.97562599182129,0.004902473
40.22727272727273,200.0,8960,35,17,521,9229.251992797852,-0.0023125410079956055,0.0003,0.3,-2.1936758041381834,0.00546875,340,-0.011152313556522131,4335.2197265625,0.016916469
41.73913043478261,200.0,9216,36,17,521,26.117420172691347,-0.008443474769592285,0.0003,0.3,-2.1546433091163637,0.021484375,350,-0.017853613896295428,16.156421661376953,0.0251804
31.27659574468085,200.0,9472,37,18,522,6148.9375116348265,0.0002757906913757324,0.0003,0.3,-2.0862210750579835,0.086328125,360,-0.008472346467897296,6147.705078125,0.020502977
22.5,200.0,9728,38,18,523,25.966540336608887,0.007436633110046387,0.0003,0.3,-2.0473265409469605,0.025,370,-0.018817444634623825,15.40472412109375,0.013703912
34.89795918367347,200.0,9984,39,19,524,9410.458575439454,-0.0006010532379150391,0.0003,0.3,-2.016352117061615,0.0,380,-0.00039467394817620515,4905.06494140625,0.0055395444
36.86274509803921,200.0,10240,40,19,524,0.9527990937232971,-0.06488001346588135,0.0003,0.3,-2.0457018613815308,0.25234375,390,-0.02534992783330381,0.32400938868522644,0.057060268
-400.0,200.0,256,1,0,581,8625.739660549163,0.0006301999092102051,0.0003,0.3,-2.0912407875061034,0.020703125,400,-0.013179732975549996,436.5016784667969,0.0149519835
-390.0,200.0,512,2,0,544,4.095470923185348,-0.0034584999084472656,0.0003,0.3,-2.5095489740371706,0.0,410,-0.0008867517346516252,2.10640811920166,0.005253033
-393.3333333333333,200.0,768,3,1,528,0.5606637082993984,0.03237283229827881,0.0003,0.3,-2.4966758370399473,0.110546875,420,-0.022230715304613114,0.27016493678092957,0.029409382
-396.0,200.0,1024,4,1,520,0.5818905331194401,-0.028435349464416504,0.0003,0.3,-2.499388337135315,0.08125,430,-0.019700459600426257,0.2177303433418274,0.02420282
-396.6666666666667,200.0,1280,5,2,518,1.1181365892291069,-0.0040673017501831055,0.0003,0.3,-2.4686829447746277,0.12734375,440,-0.01868081360589713,0.12780991196632385,0.014796975
-395.7142857142857,200.0,1536,6,2,524,1.4092030972242355,-0.06581425666809082,0.0003,0.3,-2.3915446519851686,0.053125,450,-0.012472298392094672,0.8436275720596313,0.032849528
-393.75,200.0,1792,7,3,520,2.218351498246193,-0.0016487836837768555,0.0003,0.3,-2.3840245604515076,0.04453125,460,-0.019549037888646127,0.6011258363723755,0.021706635
-395.0,200.0,2048,8,3,522,0.6356875196099281,-0.05829119682312012,0.0003,0.3,-2.3913103222846983,0.008203125,470,-0.006743466970510781,0.037473805248737335,0.016191399
-395.45454545454544,200.0,2304,9,4,526,1.111528143286705,-0.003577709197998047,0.0003,0.3,-2.3477981328964233,0.01171875,480,-0.011041465401649474,0.26628851890563965,0.013586907
-395.8333333333333,200.0,2560,10,4,523,0.5731668718159199,-0.0012025833129882812,0.0003,0.3,-2.274572718143463,0.065625,490,-0.01510230042040348,0.17975321412086487,0.030542556
-402.85714285714283,200.0,2816,11,5,524,1.4418777108192444,-0.002886533737182617,0.0003,0.3,-2.236228120326996,0.037109375,500,-0.015601799916476011,1.0396931171417236,0.012940768
-402.0,200.0,3072,12,5,536,49.712469244003294,-1.5497207641601562e-06,0.0003,0.3,-2.127146816253662,0.0,510,0.001447098795324564,10.742875099182129,0.0067312988
-401.875,200.0,3328,13,6,547,1.4756582409143448,-4.8041343688964844e-05,0.0003,0.3,-2.098342943191528,0.004296875,520,-0.006218088534660637,0.6029592752456665,0.0039895177
-401.1764705882353,200.0,3584,14,6,545,1.432175150513649,-0.0017777681350708008,0.0003,0.3,-2.0150626063346864,0.010546875,530,-0.013377318158745766,0.32101210951805115,0.015855636
-400.5263157894737,200.0,3840,15,7,542,0.5768656320869923,0.00041544437408447266,0.0003,0.3,-2.0229609072208405,0.0046875,540,-0.011407019989565014,0.026218794286251068,0.018843371
-405.5,200.0,4096,16,7,542,25.211967754364014,-9.548664093017578e-05,0.0003,0.3,-1.7468235075473786,0.0,550,-0.002642203390132636,2.0782840251922607,0.005091306
-403.3333333333333,200.0,4352,17,8,539,29.893885946273805,-6.008148193359375e-05,0.0003,0.3,-1.8208450496196746,0.0,560,-0.008052257378585637,23.432371139526367,0.0039964966
-405.2173913043478,200.0,4608,18,8,534,23.467473995685577,3.0338764190673828e-05,0.0003,0.3,-2.0097409009933473,0.20390625,570,-0.011478053173050284,8.435444831848145,0.05060391
