time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/total_timesteps,train/explained_variance,train/value_loss,train/loss,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/approx_kl,train/n_updates,train/entropy_loss,train/clip_fraction
10,949,200.0,40,370.11764705882354,10240,0.04920750856399536,10952.087622070312,4745.197265625,-0.0021532843820750713,0.3,0.0003,0.00048733084,390,-2.482432186603546,0.0
11,949,200.0,41,365.0769230769231,10496,0.028431475162506104,31347.48056640625,15444.4072265625,-0.007589791202917695,0.3,0.0003,0.0032824462,400,-2.470913326740265,0.0
11,949,200.0,42,364.4339622641509,10752,0.04536563158035278,18131.295458984376,5582.349609375,-0.0012478735763579607,0.3,0.0003,0.0011251012,410,-2.454741871356964,0.0
11,949,200.0,43,360.5090909090909,11008,0.0607185959815979,11364.72117919922,5086.65380859375,-0.0015591589501127601,0.3,0.0003,0.00023389864,420,-2.458409070968628,0.0
11,949,200.0,44,357.48214285714283,11264,0.045541584491729736,32769.23032226563,9607.890625,-0.00039312541484832765,0.3,0.0003,0.00023986236,430,-2.442772018909454,0.0
12,949,200.0,45,363.89473684210526,11520,0.056320011615753174,14118.203735351562,9448.888671875,-0.0011871784459799527,0.3,0.0003,0.00023292168,440,-2.4282016277313234,0.0
12,950,200.0,46,360.0,11776,0.05557817220687866,19037.13818359375,4485.92138671875,-0.0019746553152799606,0.3,0.0003,0.00020450004,450,-2.4333181858062742,0.0
12,950,200.0,47,363.1333333333333,12032,0.007393300533294678,27268.35625,15625.5009765625,-0.0011160136200487614,0.3,0.0003,0.00018430944,460,-2.4393442034721375,0.0
12,951,200.0,48,356.3606557377049,12288,0.05102604627609253,23807.17822265625,11579.0615234375,-0.001528345700353384,0.3,0.0003,0.00023396732,470,-2.4257035851478577,0.0
13,950,200.0,49,358.01612903225805,12544,0.0753018856048584,15599.170593261719,6622.0048828125,-0.0008925659349188209,0.3,0.0003,0.00017514662,480,-2.4255847215652464,0.0
13,951,200.0,50,353.90625,12800,0.05174374580383301,15391.367944335938,11456.3154296875,-0.0005184007808566093,0.3,0.0003,8.107512e-05,490,-2.4217916131019592,0.0
13,951,200.0,51,354.03076923076924,13056,0.06963187456130981,14585.988488769532,13084.970703125,-0.0009088595863431693,0.3,0.0003,0.00010295585,500,-2.4233888030052184,0.0
13,952,200.0,52,354.56060606060606,13312,0.08663678169250488,31119.758984375,15939.0009765625,-0.002272999822162092,0.3,0.0003,0.0005988104,510,-2.4197132706642153,0.0
14,952,200.0,53,353.64179104477614,13568,0.0447118878364563,9623.183587646485,465.63372802734375,-0.004037893080385402,0.3,0.0003,0.0023220386,520,-2.417927289009094,0.0
14,952,200.0,54,350.60869565217394,13824,0.05282115936279297,18223.061328125,11456.5126953125,-0.0023953601717948913,0.3,0.0003,0.0005881076,530,-2.4275741934776307,0.0
14,952,200.0,55,349.04285714285714,14080,0.07050800323486328,22301.8798828125,14286.458984375,-0.0037933607352897527,0.3,0.0003,0.0009265598,540,-2.424355614185333,0.0
15,952,200.0,56,348.3098591549296,14336,0.04723113775253296,16394.09267578125,7473.529296875,-0.0008449189132079482,0.3,0.0003,0.0002163446,550,-2.4072192907333374,0.0
15,952,200.0,57,362.125,14592,0.03671938180923462,26469.594287109376,10709.255859375,-0.0016563514713197947,0.3,0.0003,0.00015654415,560,-2.4080047726631166,0.0
15,952,200.0,58,369.7162162162162,14848,0.036808013916015625,19909.04267578125,5309.7578125,-0.018080199230462314,0.3,0.0003,0.009924397,570,-2.3918270230293275,0.000390625
