rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,train/value_loss,train/loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/entropy_loss,train/explained_variance,train/clip_range,train/clip_fraction,train/approx_kl
200.0,6,1525.7575757575758,6656,26,988,6049.282897949219,2536.195068359375,-0.0033448484144173564,13450,0.0003,-2.0665048003196715,0.5826384425163269,0.3,0.000390625,0.005097597
200.0,6,1506.1764705882354,6912,27,990,11420.107214355468,7434.7685546875,-0.00034030009992420674,13460,0.0003,-1.7953892946243286,0.5110544562339783,0.3,0.0,0.0009610029
200.0,7,1500.0,7168,28,991,6102.4685546875,3258.65087890625,-0.002237654197961092,13470,0.0003,-2.08558007478714,0.49835503101348877,0.3,0.0015625,0.0022379302
200.0,7,1504.8648648648648,7424,29,991,7366.3162841796875,4581.57861328125,-0.00032479660585522653,13480,0.0003,-1.9284059047698974,0.5014569163322449,0.3,0.0,0.0015817864
200.0,7,1519.2105263157894,7680,30,993,11490.83203125,7871.3330078125,-0.0015496950130909682,13490,0.0003,-1.876781666278839,0.48937875032424927,0.3,0.004296875,0.0041899085
200.0,7,1527.6923076923076,7936,31,994,6559.221649169922,2778.443115234375,-0.004629277600906789,13500,0.0003,-1.7627570271492004,0.48655861616134644,0.3,0.039453125,0.018273374
200.0,8,1528.75,8192,32,995,6325.584085083008,5521.087890625,-0.0020287966006435456,13510,0.0003,-2.0637038588523864,0.5313462018966675,0.3,0.0,0.0017335641
200.0,8,1549.047619047619,8448,33,996,6035.034991455078,3295.386474609375,-0.0026811347575858234,13520,0.0003,-2.091793084144592,0.5540647506713867,0.3,0.0,0.0032820662
200.0,8,1555.1162790697674,8704,34,996,11502.707971191407,4417.3642578125,-0.0009736474021337926,13530,0.0003,-1.9467874109745025,0.4962955713272095,0.3,0.0,0.0037562351
200.0,8,1566.3636363636363,8960,35,997,6193.571252441407,1724.9578857421875,-0.005132713844068349,13540,0.0003,-2.121677243709564,0.5111585855484009,0.3,0.012890625,0.0090467995
200.0,9,1561.5217391304348,9216,36,998,6301.687438964844,2157.948974609375,-0.005016119522042573,13550,0.0003,-1.9726904928684235,0.5662144422531128,0.3,0.0109375,0.0110380985
200.0,9,1560.6382978723404,9472,37,999,11046.556921386718,3987.89306640625,-0.00015158280730247496,13560,0.0003,-2.101878118515015,0.506869912147522,0.3,0.003125,0.0034247995
