rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,train/n_updates,train/clip_range,train/entropy_loss,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/loss,train/learning_rate
200.0,1536,1,857.1428571428571,992,6,4850,0.3,-2.0268616795539858,7579.4147895812985,0.00625,-0.0012206617742776872,0.2917354702949524,0.009785574,3569.0986328125,0.0003
200.0,1792,1,945.0,994,7,4860,0.3,-2.1854024648666384,9587.08731689453,0.034375,-0.005067831557244063,0.2589254379272461,0.014758753,6338.43017578125,0.0003
200.0,2048,2,965.0,998,8,4870,0.3,-2.1840529561042787,9517.00333251953,0.015625,-0.0041269229259341955,0.2512304186820984,0.008905727,4239.08740234375,0.0003
200.0,2304,2,937.2727272727273,1000,9,4880,0.3,-2.165942966938019,15469.820068359375,0.0,-5.1894504576921466e-05,0.27200692892074585,0.0014087493,6493.36962890625,0.0003
200.0,2560,2,943.3333333333334,1000,10,4890,0.3,-2.259340298175812,8089.098551940918,0.002734375,-0.003829885751474649,0.25628888607025146,0.006757967,1423.0711669921875,0.0003
200.0,2816,2,930.7142857142857,1005,11,4900,0.3,-2.235886037349701,8317.128021240234,0.012109375,-0.007633910560980439,0.2637920379638672,0.010719138,2888.377197265625,0.0003
200.0,3072,3,922.6666666666666,1011,12,4910,0.3,-2.229821491241455,15874.759594726562,0.0,-0.0038784958655014635,0.2716737389564514,0.004808867,6998.88525390625,0.0003
200.0,3328,3,932.5,1016,13,4920,0.3,-2.269234871864319,7979.674649047852,0.0125,-0.007691435806918889,0.2818956971168518,0.015507992,6265.35888671875,0.0003
200.0,3584,3,926.4705882352941,1016,14,4930,0.3,-2.2726204872131346,9817.5341796875,0.0,-0.0021584661561064424,0.27752935886383057,0.008786937,6253.15771484375,0.0003
200.0,3840,3,920.5263157894736,1017,15,4940,0.3,-2.2855472803115844,9254.235327148437,0.001171875,-0.0024980814196169376,0.23601317405700684,0.0022707132,2771.123046875,0.0003
200.0,4096,4,907.5,1018,16,4950,0.3,-2.268689513206482,15694.392944335938,0.0,-0.0005805552704259753,0.28280818462371826,0.00029290118,9939.837890625,0.0003
200.0,4352,4,914.2857142857143,1020,17,4960,0.3,-2.2689388751983643,13296.532153320313,0.001171875,-0.0034730644430965183,0.056510746479034424,0.0023359053,8783.5009765625,0.0003
200.0,4608,4,901.7391304347826,1017,18,4970,0.3,-2.0294702887535094,8388.417282104492,0.001171875,-0.003806374000851065,0.27821946144104004,0.004752714,5069.64453125,0.0003
200.0,4864,4,904.1666666666666,1022,19,4980,0.3,-2.1647908210754396,15560.921215820312,0.000390625,-0.002079102792777121,0.2812109589576721,0.004682665,6867.33056640625,0.0003
200.0,5120,5,898.8,1022,20,4990,0.3,-2.158681905269623,8704.259387207032,0.0,-0.002110186731442809,0.2441720962524414,0.002108862,4649.6630859375,0.0003
200.0,5376,5,914.2307692307693,1024,21,5000,0.3,-2.2153491139411927,8759.43360595703,0.06484375,-0.008838844136334956,0.2879491448402405,0.023908503,7297.7822265625,0.0003
200.0,5632,5,894.2857142857143,1023,22,5010,0.3,-2.1612154603004456,7957.80114440918,0.005078125,-0.002612919663079083,0.295734703540802,0.0077999057,4098.3525390625,0.0003
