time/iterations,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/clip_fraction,train/loss,train/approx_kl,train/n_updates,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/learning_rate
22,200.0,5632,-315.0,685,8,0.023046875,1010.3856201171875,0.007312769,610,0.0003586411476135254,0.3,-0.010666307574138046,2036.6497192382812,-2.355526661872864,0.0003
23,200.0,5888,-303.1034482758621,686,8,0.0,91.94144439697266,0.001295001,620,0.00742185115814209,0.3,-0.0042493185494095085,223.7585021972656,-2.3555941343307496,0.0003
24,200.0,6144,-306.0,687,8,0.0,656.0194091796875,0.00041175704,630,0.035342276096343994,0.3,-0.0010604493785649539,1517.9010925292969,-2.3878453254699705,0.0003
25,200.0,6400,-295.3125,685,9,0.003125,20.2424259185791,0.0053579705,640,0.04406321048736572,0.3,-0.008556356839835643,46.31573619842529,-2.385743427276611,0.0003
26,200.0,6656,-297.8787878787879,681,9,0.0,564.76416015625,0.0016784889,650,0.0591469407081604,0.3,-0.002492382703348994,1433.5559875488282,-2.38622864484787,0.0003
27,200.0,6912,-297.05882352941177,682,10,0.0,152.3388671875,5.4924283e-05,660,-1.4848711490631104,0.3,-5.649343365803361e-05,538.367529296875,-2.404723882675171,0.0003
28,200.0,7168,-292.85714285714283,683,10,0.0,722.327392578125,8.805189e-06,670,0.2836853265762329,0.3,-0.00031222053803503513,1343.0362670898437,-2.408938455581665,0.0003
29,200.0,7424,-298.3783783783784,682,10,0.0,90.69489288330078,0.002231262,680,0.05598479509353638,0.3,-0.00535637023858726,170.61104431152344,-2.418162667751312,0.0003
30,200.0,7680,-300.2631578947368,682,11,0.0,377.32403564453125,0.00097058364,690,0.04460549354553223,0.3,-0.00014974467922002077,863.3476409912109,-2.392042338848114,0.0003
31,200.0,7936,-290.5128205128205,682,11,0.0,323.5139465332031,0.0003054873,700,-1.6956098079681396,0.3,-0.002162545104511082,707.6329803466797,-2.382767379283905,0.0003
