time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/value_loss,train/explained_variance,train/loss,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/clip_fraction,train/learning_rate,train/n_updates,train/entropy_loss
33,-308.3095238095238,985,8,200.0,8448,282.3470123291016,4.0531158447265625e-06,186.6876220703125,-0.008426109980791806,0.3,0.00702188,0.0,0.0003,720,-1.9831660985946655
34,-308.74418604651163,985,8,200.0,8704,376.9097869873047,-2.002716064453125e-05,184.1725311279297,-0.0018097713124006986,0.3,0.0014675781,0.0,0.0003,730,-1.9841326117515563
35,-302.9318181818182,985,9,200.0,8960,1156.3467498779296,3.159046173095703e-06,761.2567749023438,-0.006391721894033253,0.3,0.0041887974,0.0,0.0003,740,-2.019863945245743
36,-303.5217391304348,985,9,200.0,9216,233.94548721313475,2.8014183044433594e-06,125.29826354980469,-0.00620379070751369,0.3,0.003508805,0.0,0.0003,750,-2.0376010656356813
37,-308.8510638297872,985,9,200.0,9472,293.1187469482422,7.748603820800781e-06,165.1469268798828,-0.013862715708091855,0.3,0.018018277,0.014453125,0.0003,760,-2.0377958953380584
38,-310.5208333333333,985,9,200.0,9728,511.5142822265625,1.1920928955078125e-06,264.2539367675781,-0.0016326994285918773,0.3,0.0022127323,0.0,0.0003,770,-1.9378825843334198
39,-307.1020408163265,985,10,200.0,9984,365.58775329589844,7.748603820800781e-07,207.20791625976562,-0.0026091651758179068,0.3,0.0009286201,0.0,0.0003,780,-1.9326124489307404
40,-304.52941176470586,985,10,200.0,10240,1024.9834716796875,0.0003285408020019531,296.8400573730469,-0.007092591840773821,0.3,0.004796978,0.0078125,0.0003,790,-1.9909425854682923
1,141.0,1281,0,200.0,256,1367.584405517578,2.086162567138672e-05,418.1818542480469,-0.005596980918198824,0.3,0.001798701,0.00234375,0.0003,800,-1.9834471344947815
2,34.0,1102,0,200.0,512,1772.9834289550781,3.9696693420410156e-05,1055.54248046875,-0.0010309657081961632,0.3,0.00012721308,0.0,0.0003,410,-2.254837965965271
3,-117.0,1058,0,200.0,768,909.3637451171875,-9.1552734375e-05,316.21337890625,-0.015295308688655496,0.3,0.018763503,0.021484375,0.0003,420,-2.2685683131217957
4,-134.4,1032,0,200.0,1024,1059.6050109863281,0.0,344.6160583496094,-0.02661003128159791,0.3,0.029732779,0.099609375,0.0003,430,-2.291685199737549
5,-174.16666666666666,1011,1,200.0,1280,245.1000789642334,6.0558319091796875e-05,121.37666320800781,-0.005218516150489449,0.3,0.0066011054,0.0,0.0003,440,-2.1808645725250244
6,-206.28571428571428,999,1,200.0,1536,279.79618377685546,6.747245788574219e-05,110.74117279052734,-0.00025172706227749586,0.3,0.00032148883,0.0,0.0003,450,-2.1587787508964538
7,-224.125,994,1,200.0,1792,402.4242233276367,1.811981201171875e-05,188.89120483398438,-0.0011564371059648692,0.3,7.6048775e-05,0.0,0.0003,460,-2.1496936440467835
8,-234.0,994,2,200.0,2048,932.8803344726563,2.4557113647460938e-05,640.68701171875,-0.011581869749352335,0.3,0.013620757,0.0,0.0003,470,-2.1510311126708985
9,-243.0,1003,2,200.0,2304,526.9130081176758,-0.0031125545501708984,298.5885925292969,-0.0020250894012860954,0.3,0.0028379029,0.0,0.0003,480,-2.1016948938369753
10,-233.0,1001,2,200.0,2560,282.65415344238284,-0.0008726119995117188,97.59127807617188,-0.0002608360373415053,0.3,0.00010853005,0.0,0.0003,490,-2.0842792272567747
11,-235.28571428571428,997,2,200.0,2816,1081.6292297363282,-6.318092346191406e-06,692.5951538085938,-0.0032007255125790835,0.3,0.002617246,0.0,0.0003,500,-2.1114699482917785
12,-230.0,992,3,200.0,3072,961.1974914550781,-1.7404556274414062e-05,450.4236145019531,-0.007821150682866573,0.3,0.021489961,0.02734375,0.0003,510,-2.112338292598724
13,-238.4375,994,3,200.0,3328,1083.7620483398437,9.357929229736328e-06,624.2344360351562,-0.011001046327874065,0.3,0.007384359,0.005859375,0.0003,520,-2.164603817462921
14,-234.58823529411765,998,3,200.0,3584,896.0456970214843,-9.298324584960938e-06,345.8347473144531,-0.006790357187855989,0.3,0.016302347,0.03359375,0.0003,530,-2.2730872988700868
15,-246.8421052631579,1002,3,200.0,3840,354.27903747558594,-2.2649765014648438e-06,174.65025329589844,-0.001966684893704951,0.3,0.0148735205,0.006640625,0.0003,540,-2.1604905843734743
16,-245.5,1006,4,200.0,4096,397.43639373779297,-0.0004909038543701172,163.34527587890625,-0.0013336853357031942,0.3,0.0003450513,0.0,0.0003,550,-2.1073956966400145
17,-256.6666666666667,1006,4,200.0,4352,1188.7185760498046,0.00010579824447631836,530.7990112304688,-0.021917530265636743,0.3,0.030360676,0.02890625,0.0003,560,-2.1888218998908995
18,-266.0,1011,4,200.0,4608,572.1176864624024,5.412101745605469e-05,321.4474792480469,0.0018795727752149104,0.3,0.008761384,0.0,0.0003,570,-2.330759918689728
19,-264.2083333333333,1014,4,200.0,4864,294.8881469726563,6.270408630371094e-05,190.74639892578125,-0.0008501759846694767,0.3,0.0001272161,0.0,0.0003,580,-2.353147733211517
20,-262.28,1017,5,200.0,5120,1508.463525390625,1.5676021575927734e-05,768.6585693359375,-0.01019898836966604,0.3,0.02998187,0.085546875,0.0003,590,-2.300968825817108
21,-265.96153846153845,1015,5,200.0,5376,965.562142944336,-0.00010752677917480469,341.03814697265625,-0.012842973601073027,0.3,0.010031114,0.00703125,0.0003,600,-2.2837037444114685
22,-266.07142857142856,1015,5,200.0,5632,1193.4722808837892,-0.00011026859283447266,781.0767822265625,-0.009244945552200078,0.3,0.013758722,0.005078125,0.0003,610,-2.3065987110137938
23,-252.86206896551724,1016,5,200.0,5888,600.1443054199219,1.0728836059570312e-06,302.11669921875,-0.01309255724772811,0.3,0.006319756,0.0,0.0003,620,-2.2518285632133486
24,-256.8666666666667,1016,6,200.0,6144,1910.7517639160155,-1.811981201171875e-05,1070.6026611328125,0.0007835392840206623,0.3,0.00021538232,0.0,0.0003,630,-2.268632650375366
25,-261.78125,1018,6,200.0,6400,1036.29306640625,-4.887580871582031e-06,389.2000427246094,-0.0054684525821357965,0.3,0.012455123,0.02578125,0.0003,640,-2.2879528284072874
26,-258.09090909090907,1018,6,200.0,6656,385.81155548095705,-2.0265579223632812e-06,179.80389404296875,0.0006689141737297177,0.3,0.00077483593,0.0,0.0003,650,-2.2900588274002076
27,-262.20588235294116,1010,6,200.0,6912,837.5686019897461,-8.821487426757812e-06,490.3022155761719,-0.0055602144217118624,0.3,0.0021478091,0.0,0.0003,660,-2.301214909553528
28,-262.25714285714287,1011,7,200.0,7168,455.66886978149415,9.834766387939453e-06,234.01609802246094,0.0004458998329937458,0.3,0.008620304,0.029296875,0.0003,670,-2.2448251605033875
29,-266.7837837837838,1013,7,200.0,7424,267.35399475097654,1.5974044799804688e-05,117.34339141845703,-0.00045066336169838903,0.3,0.00021906127,0.0,0.0003,680,-2.229696178436279
30,-262.5263157894737,1014,7,200.0,7680,291.88449478149414,8.046627044677734e-06,157.55264282226562,-0.00124339530011639,0.3,0.00024793507,0.0,0.0003,690,-2.2265666007995604
