time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,train/policy_gradient_loss,train/clip_range,train/loss,train/n_updates,train/value_loss,train/approx_kl,train/clip_fraction,train/learning_rate,train/entropy_loss,train/explained_variance
12,3,359.3333333333333,200.0,3072,941,-0.0019271153956651687,0.3,4129.5927734375,110,9507.32822265625,0.0005636227,0.0,0.0003,-2.5557058453559875,-0.0008018016815185547
13,3,363.125,200.0,3328,941,-0.0027206246741116047,0.3,11668.931640625,120,19306.249926757813,0.00030381582,0.0,0.0003,-2.554423451423645,-0.010768294334411621
14,3,387.6470588235294,200.0,3584,942,-0.00741625705268234,0.3,5180.34619140625,130,9389.208074951172,0.0019519923,0.0,0.0003,-2.5492069125175476,0.005305647850036621
15,4,379.4736842105263,200.0,3840,942,-0.0021218798006884753,0.3,7057.53271484375,140,9385.965576171875,0.0010530755,0.0,0.0003,-2.5426283717155456,-0.004476189613342285
16,4,382.5,200.0,4096,942,-0.0026817144360393287,0.3,3766.5263671875,150,17943.97639160156,0.0006565715,0.0,0.0003,-2.5402969121932983,0.00376284122467041
17,4,394.76190476190476,200.0,4352,941,-0.00465011962223798,0.3,4232.0634765625,160,9139.438781738281,0.0014820255,0.0,0.0003,-2.538072431087494,-0.004828810691833496
18,4,406.95652173913044,200.0,4608,941,-0.008503144700080156,0.3,2622.45068359375,170,9237.905480957032,0.0066645714,0.0,0.0003,-2.5286527991294863,-0.0014791488647460938
19,5,402.5,200.0,4864,942,0.00019264861475676298,0.3,8145.810546875,180,9685.44716796875,0.0033498723,0.0,0.0003,-2.524889647960663,-0.005126833915710449
20,5,397.2,200.0,5120,945,-0.012835603684652596,0.3,2806.62353515625,190,9221.268994140624,0.0071459394,0.001171875,0.0003,-2.53329519033432,5.310773849487305e-05
21,5,398.46153846153845,200.0,5376,945,-0.003741191024892032,0.3,2899.61328125,200,9140.159887695312,0.004414009,0.0,0.0003,-2.5299533724784853,4.780292510986328e-05
22,5,412.14285714285717,200.0,5632,945,-0.004951897636055946,0.3,5314.00634765625,210,17991.85598144531,0.0038507953,0.0,0.0003,-2.5088856697082518,3.170967102050781e-05
23,6,413.44827586206895,200.0,5888,945,-0.009158684988506138,0.3,4763.23876953125,220,9180.978576660156,0.00723573,0.0,0.0003,-2.47315114736557,-0.0001322031021118164
24,6,418.3333333333333,200.0,6144,946,-0.01795350406318903,0.3,5750.7568359375,230,8445.541687011719,0.0339567,0.08359375,0.0003,-2.3764638185501097,0.00022047758102416992
25,6,423.75,200.0,6400,946,-0.00192915266379714,0.3,13449.2138671875,240,17855.72590332031,0.0035769846,0.0,0.0003,-2.303528916835785,0.0008208751678466797
26,7,424.54545454545456,200.0,6656,947,-0.009521805867552757,0.3,4588.7861328125,250,9016.331091308593,0.0068298955,0.012109375,0.0003,-2.3079420566558837,-0.0006117820739746094
27,7,426.7647058823529,200.0,6912,948,-0.010926374187693,0.3,13048.513671875,260,17630.38388671875,0.012132553,0.0,0.0003,-2.204793155193329,0.00028258562088012695
28,7,430.2857142857143,200.0,7168,948,-0.005122844385914505,0.3,402.63092041015625,270,821.7968780517579,0.0056265667,0.0,0.0003,-2.070067751407623,-0.0009217262268066406
29,7,427.8378378378378,200.0,7424,948,-0.0009644205681979656,0.3,15157.25390625,280,18359.97653808594,0.0005785369,0.0,0.0003,-2.0127057790756226,0.0014829635620117188
30,8,427.89473684210526,200.0,7680,948,-0.008128364314325153,0.3,5938.58154296875,290,9171.145727539062,0.009261468,0.001171875,0.0003,-2.0527939915657045,-0.0009431838989257812
31,8,424.61538461538464,200.0,7936,948,-0.00555876970756799,0.3,11694.1015625,300,18003.854821777342,0.009578921,0.0,0.0003,-2.083210301399231,0.0005752444267272949
32,8,425.25,200.0,8192,947,-0.011669563222676515,0.3,6354.71435546875,310,9247.59327392578,0.016466048,0.0140625,0.0003,-2.0343507409095762,0.0007021427154541016
33,8,425.0,200.0,8448,948,-0.010672814561985433,0.3,8155.2177734375,320,9175.524719238281,0.020672228,0.022265625,0.0003,-1.9700251936912536,0.0017223954200744629
34,9,423.48837209302326,200.0,8704,947,-0.005764128133887425,0.3,5044.3037109375,330,17129.11896972656,0.0036830883,0.0,0.0003,-1.9863847732543944,0.005497753620147705
35,9,421.3636363636364,200.0,8960,946,-0.0007313926005735993,0.3,163.7079620361328,340,391.37857818603516,0.0008077808,0.0,0.0003,-2.052421510219574,-0.0125962495803833
