time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/entropy_loss,train/clip_range,train/clip_fraction,train/n_updates,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/loss,train/approx_kl
101632,200.0,105,961,-289.38,397,-0.14090538024902344,-0.7565724939107895,0.3,0.0,3960,319.089769744873,0.0003,-0.0008743829792365431,161.51556396484375,0.00031859707
101888,200.0,105,961,-275.01,398,0.58443284034729,-1.2225785493850707,0.3,0.004296875,3970,57.96520624160767,0.0003,-0.0030846861889585854,35.27708435058594,0.011491565
102144,200.0,106,961,-274.53,399,0.5515369772911072,-0.8031880497932434,0.3,0.0,3980,1863.2479614257813,0.0003,0.0001847052772063762,634.2896728515625,0.00037390902
102400,200.0,106,961,-273.04,400,0.2816517949104309,-0.8194941401481628,0.3,0.0,3990,436.46513137817385,0.0003,-0.00042032524943351745,109.94538116455078,2.0203646e-05
102656,200.0,106,961,-272.25,401,-0.24152839183807373,-0.770798322558403,0.3,0.0,4000,68.7452974319458,0.0003,-0.002481575240381062,40.52553939819336,0.0012104544
102912,200.0,106,961,-272.01,402,0.5174131393432617,-0.7487328201532364,0.3,0.005078125,4010,13.262095642089843,0.0003,-0.0066078477539122105,4.7568678855896,0.0022581904
103168,200.0,107,961,-267.29,403,0.47798818349838257,-0.77037133872509,0.3,0.002734375,4020,703.9025421142578,0.0003,-0.0037732682190835475,357.68267822265625,0.002144882
103424,200.0,107,961,-267.82,404,0.496293842792511,-0.7244018912315369,0.3,0.00078125,4030,8.10181429386139,0.0003,-0.007264139386825264,3.2725491523742676,0.0042315237
103680,200.0,107,961,-270.44,405,-0.4220457077026367,-0.6562662065029145,0.3,0.00390625,4040,100.8627742767334,0.0003,-0.005382969928905368,58.059627532958984,0.0072315848
103936,200.0,108,962,-269.17,406,0.015896379947662354,-0.6756054729223251,0.3,0.00859375,4050,601.6360977172851,0.0003,-0.001853755977936089,179.82937622070312,0.0044220956
