rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,train/approx_kl,train/value_loss,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/learning_rate,train/loss,train/explained_variance
-300.4,314,200.0,385,312,98560,0.019462615,1.4875426828861236,0.020703125,3840,-0.01834959238767624,0.3,-1.8003941893577575,0.0003,0.8075200915336609,9.09566879272461e-05
-317.2,315,200.0,386,313,98816,0.0024652302,289.52086486816404,0.0,3850,0.00253874696791172,0.3,-1.7197868943214416,0.0003,85.15164947509766,0.306732714176178
-317.2,315,200.0,387,313,99072,0.0077302726,8.030595469474793,0.015234375,3860,-0.010834222100675106,0.3,-1.7783559918403626,0.0003,4.661077976226807,0.0004406571388244629
-316.7,315,200.0,388,314,99328,0.013723711,8.753376984596253,0.012109375,3870,-0.008529542526230217,0.3,-1.8293589353561401,0.0003,2.446981430053711,-0.17436456680297852
-316.7,316,200.0,389,314,99584,0.013582462,3.922393226623535,0.01875,3880,-0.013978372141718865,0.3,-1.9051668047904968,0.0003,2.068340301513672,-0.0002048015594482422
-302.2,316,200.0,390,315,99840,0.0068387715,652.2989562988281,0.0,3890,0.006729404570069164,0.3,-1.7096786379814148,0.0003,373.2391052246094,0.1607545018196106
-302.1,317,200.0,391,314,100096,8.166884e-05,1174.4804763793945,0.0,3900,-0.00012123436899855733,0.3,-1.7060813665390016,0.0003,440.58441162109375,0.2024715542793274
-307.2,318,200.0,392,315,100352,0.0005040269,1.2035979598760604,0.0,3910,-0.0013347685569897294,0.3,-1.6994944930076599,0.0003,0.4664935767650604,-0.010039448738098145
-301.3,318,200.0,393,315,100608,0.00047958526,583.6285568237305,0.0,3920,-0.0015776344109326601,0.3,-1.6689763069152832,0.0003,281.5107727050781,0.227819561958313
-298.6,318,200.0,394,316,100864,0.00018738257,476.8340316772461,0.0,3930,-0.0011399687035009265,0.3,-1.6850561320781707,0.0003,332.2966003417969,-0.07334315776824951
-298.4,319,200.0,395,316,101120,0.00020710519,833.7762741088867,0.0,3940,-0.0008956732228398323,0.3,-1.7341218531131743,0.0003,445.5247497558594,0.31592899560928345
-298.6,319,200.0,396,317,101376,0.00015321071,62.51238927841187,0.0,3950,-0.0005804162006825209,0.3,-1.7720257878303527,0.0003,15.312734603881836,-1.7687251567840576
-298.7,319,200.0,397,317,101632,0.0033642931,27.4759001493454,0.0,3960,-0.005248460732400417,0.3,-1.7341172099113464,0.0003,12.54372501373291,-0.0003082752227783203
-298.7,320,200.0,398,317,101888,0.013000331,1.945641815662384,0.021875,3970,-0.011211800249293446,0.3,-1.7406849145889283,0.0003,1.1708762645721436,0.0008035898208618164
-298.7,320,200.0,399,318,102144,0.015419859,0.5959116376936435,0.0046875,3980,-0.006443905923515558,0.3,-1.761880213022232,0.0003,0.2578604817390442,-0.0005171298980712891
-298.2,321,200.0,400,318,102400,0.005676112,4.398280370235443,0.00234375,3990,-0.004156422859523445,0.3,-1.6154241502285003,0.0003,1.767640471458435,-0.030005455017089844
-297.7,321,200.0,401,319,102656,0.002962328,45.123647117614745,0.0,4000,-0.004226811858825385,0.3,-1.674980491399765,0.0003,6.371025085449219,-5.2140278816223145
-302.3,321,200.0,402,319,102912,0.007666379,15.836621522903442,0.02734375,4010,-0.009608738077804446,0.3,-1.746618139743805,0.0003,8.948319435119629,-0.008309245109558105
-301.9,321,200.0,403,320,103168,0.023259943,8.608710551261902,0.030859375,4020,-0.016806814819574356,0.3,-1.6927840292453766,0.0003,2.892457962036133,-0.0015999078750610352
-301.5,322,200.0,404,320,103424,0.011978686,6.609420585632324,0.025,4030,-0.01761536397971213,0.3,-1.5557886838912964,0.0003,2.8349804878234863,-0.000301361083984375
-301.5,322,200.0,405,321,103680,0.006911541,1.4192692816257477,0.0109375,4040,-0.007046849234029651,0.3,-1.529232430458069,0.0003,0.9083133935928345,0.00011438131332397461
-301.5,322,200.0,406,321,103936,0.002701015,0.7087686039507389,0.0,4050,-5.227094516158104e-06,0.3,-1.53559450507164,0.0003,0.4415472447872162,2.0265579223632812e-06
-306.2,323,200.0,407,322,104192,0.014414733,5.7566704750061035,0.06015625,4060,-0.010432393476366996,0.3,-1.622987723350525,0.0003,3.028078556060791,-0.0006654262542724609
-305.7,323,200.0,408,322,104448,0.014361171,26.057858276367188,0.03671875,4070,-0.0016524142352864145,0.3,-1.7480074882507324,0.0003,12.839942932128906,-1.1287095546722412
-307.8,323,200.0,409,323,104704,0.025122236,7.9368573188781735,0.048828125,4080,-0.017854888690635562,0.3,-1.4222573339939117,0.0003,4.732379913330078,8.440017700195312e-05
-307.3,324,200.0,410,323,104960,0.020084176,8.078708779811858,0.04765625,4090,-0.023355096159502865,0.3,-1.3935301840305327,0.0003,3.950448989868164,-0.0038405656814575195
-308.9,324,200.0,411,324,105216,0.026854537,5.688425743579865,0.07265625,4100,-0.018778021493926645,0.3,-1.5803679406642914,0.0003,4.601714134216309,0.0034992098808288574
-309.2,324,200.0,412,324,105472,0.0027916206,44.398823261260986,0.00078125,4110,-0.0033339811256155373,0.3,-1.7298475563526154,0.0003,8.514912605285645,-4.4910759925842285
-309.3,325,200.0,413,325,105728,0.00086945016,1.2695464819669724,0.0,4120,-0.002152996859513223,0.3,-1.6727309048175811,0.0003,0.5316205024719238,-0.001763463020324707
-304.2,325,200.0,414,325,105984,0.0002126405,798.1917266845703,0.0,4130,-0.0006468640174716711,0.3,-1.784082567691803,0.0003,442.00311279296875,-3.445148468017578e-05
-303.9,325,200.0,415,325,106240,0.010506338,6.144445586204529,0.011328125,4140,-0.008139003510586917,0.3,-1.8537744879722595,0.0003,3.7832067012786865,0.054842233657836914
-303.6,326,200.0,416,326,106496,0.0069327746,10.550884342193603,0.008203125,4150,-0.010069571225903929,0.3,-1.9452711284160613,0.0003,4.579159259796143,-0.028148651123046875
