time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/total_timesteps,train/explained_variance,train/value_loss,train/loss,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/approx_kl,train/n_updates,train/entropy_loss,train/clip_fraction
19,964,200.0,72,-282.60869565217394,18432,-0.07353448867797852,139.83151931762694,76.1783218383789,-0.00707534565590322,0.3,0.0003,0.002248634,710,-2.3196224212646483,0.0
19,964,200.0,73,-283.44086021505376,18688,5.46574592590332e-05,78.78387145996093,40.5457878112793,-0.015258399304002523,0.3,0.0003,0.015552225,720,-2.2571022868156434,0.01875
19,964,200.0,74,-284.1489361702128,18944,0.0006837248802185059,47.77886619567871,23.40298843383789,-0.002610161388292909,0.3,0.0003,0.0022466576,730,-2.1750552892684936,0.0
19,965,200.0,75,-274.4791666666667,19200,-3.504753112792969e-05,60.67141265869141,25.98801040649414,-0.00538316045422107,0.3,0.0003,0.0027227087,740,-2.212483048439026,0.0
20,965,200.0,76,-275.5670103092784,19456,2.968311309814453e-05,4528.404870605469,2555.591552734375,-0.003397051873616874,0.3,0.0003,0.0011418127,750,-2.2257673382759093,0.0
20,965,200.0,77,-269.0816326530612,19712,5.340576171875e-05,1047.5524505615235,528.7535400390625,-0.005794606497511267,0.3,0.0003,0.0030421754,760,-2.2002809643745422,0.0
20,966,200.0,78,-269.4949494949495,19968,0.0001906752586364746,1582.7718444824218,743.206787109375,-0.011070838407613337,0.3,0.0003,0.009759198,770,-2.2901448965072633,0.00625
20,966,200.0,79,-271.8,20224,-5.3048133850097656e-05,54.832848739624026,23.246986389160156,-0.016913140402175487,0.3,0.0003,0.028724518,780,-2.326706087589264,0.078515625
21,966,200.0,80,-268.5,20480,-2.086162567138672e-05,975.1953918457032,474.2882385253906,-0.02463638698682189,0.3,0.0003,0.06683508,790,-2.331201601028442,0.17421875
21,966,200.0,81,-270.4,20736,0.00020635128021240234,797.763272857666,376.1998291015625,0.008537007123231887,0.3,0.0003,0.032887593,800,-2.4048909902572633,0.13984375
21,966,200.0,82,-266.5,20992,-0.0005141496658325195,122.38080520629883,35.23162841796875,-0.0049492549151182175,0.3,0.0003,0.0044352617,810,-2.417898380756378,0.0
21,966,200.0,83,-259.2,21248,4.112720489501953e-05,3499.296533203125,1951.6988525390625,-0.0009321485180407762,0.3,0.0003,0.00083989557,820,-2.3670469164848327,0.0
22,966,200.0,84,-258.3,21504,-2.1457672119140625e-05,141.25746841430663,69.62989807128906,-0.0029034298611804845,0.3,0.0003,0.0005891251,830,-2.407857120037079,0.0
22,966,200.0,85,-254.4,21760,-5.9485435485839844e-05,148.98069915771484,75.01244354248047,-0.0032644367078319193,0.3,0.0003,0.001290774,840,-2.41095449924469,0.0
22,966,200.0,86,-247.6,22016,6.139278411865234e-06,1739.115444946289,409.967529296875,-0.0012522718170657754,0.3,0.0003,0.00010061078,850,-2.3420425176620485,0.0
23,966,200.0,87,-237.6,22272,0.0001329183578491211,136.5590377807617,59.83565139770508,-0.003677168011199683,0.3,0.0003,0.00054323766,860,-2.3896517157554626,0.0
